PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS1Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS1Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS1Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS1Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS1Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS1Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS1Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS1Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS1Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS1Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS1Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS1Quantity	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS2Quantity
A0A024RBG1;Q9NZJ9;Q9NZJ9-2	NUDT4B;NUDT4;NUDT4	Homo sapiens	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase 2;Isoform 2 of Diphosphoinositol polyphosphate phosphohydrolase 2	NUD4B_HUMAN;NUDT4_HUMAN;NUDT4_HUMAN	3	3	3	False	138206,625	245944,0625	188359,046875	168688,46875	304663,9375	165536,3125	152891,171875	126824,4375	202129,578125	203148,609375	223985,953125	221865,078125	11407,6083984375	16879,40234375	12588,8115234375	11810,77734375	19943,845703125	13958,2880859375	10863,57421875	10124,177734375	16712,060546875	14876,060546875	17890,845703125	16039,0107421875
A0A0A0MS15	IGHV3-49	Homo sapiens	Immunoglobulin heavy variable 3-49	HV349_HUMAN	1	1	1	False	180773,203125	262801,53125	198437,203125	NaN	364837,6875	252099,96875	NaN	138687,421875	266686	154956,671875	254801,578125	195009,296875	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	9	10	15	False	1972756,5	1972927	1417214,5	1485198,75	1827731,625	1605421	1382190,125	1344759,5	1516042,125	1392117,5	1339523,375	1039511,375	200995,3125	206949,65625	167245,4375	134968,8125	177344,78125	171639,8125	137451,75	132981,890625	157440,84375	148628,03125	134144,75	118461,015625
A0A0B4J2F0	PIGBOS1	Homo sapiens	Protein PIGBOS1	PIOS1_HUMAN	1	1	1	False	607022,625	216199,71875	455386,3125	440422,96875	256517,328125	337491,5625	465168,65625	447199,03125	147028,484375	309266,21875	376985,875	300021,65625	157243,546875	59299,61328125	85449,1875	91948,46875	52159,7265625	49918,38671875	69535,328125	67153,6640625	39869,98828125	48215,30859375	54695,96875	44905,17578125
A0A0U1RRL7	MMP24OS	Homo sapiens	Protein MMP24OS	MMPOS_HUMAN	2	2	2	False	147098,65625	77847,2578125	140545,859375	77393,8359375	85659,40625	51726,31640625	129634,96875	86275,65625	56636,1171875	112214,453125	66186,078125	107019,203125	15290,412109375	9428,3828125	14517,490234375	12156,40234375	6749,49609375	11589,1240234375	13190,052734375	13351,421875	10123,1220703125	8501,2119140625	10354,546875	11199,91796875
A0A1B0GTL2	C20orf204	Homo sapiens	Uncharacterized protein C20orf204	CT204_HUMAN	1	1	1	False	772160,625	299551,21875	466870,78125	796888,875	132119,140625	616974	991827,625	672536,125	392081,28125	700057,9375	656798,1875	740540,6875	55023,07421875	33051,81640625	42668,90234375	58940,97265625	61595,57421875	51240,5078125	30690,203125	66294,421875	42653,68359375	29994,919921875	30634,3671875	45865,94921875
A0A1B0GUI7	BRD3OS	Homo sapiens	Putative uncharacterized protein BRD3OS	BRDOS_HUMAN	1	1	1	False	16358,701171875	NaN	NaN	13657,6044921875	NaN	13116,43359375	NaN	NaN	NaN	16236,4140625	NaN	NaN	17658,275390625	NaN	NaN	12022,57421875	NaN	9628,447265625	26654,33203125	NaN	NaN	8425,8720703125	NaN	NaN
A0AVF1;A0AVF1-2;A0AVF1-3	TTC26	Homo sapiens	Intraflagellar transport protein 56;Isoform 2 of Intraflagellar transport protein 56;Isoform 3 of Intraflagellar transport protein 56	IFT56_HUMAN	2	2	2	False	NaN	NaN	1	NaN	NaN	0,350129634141922	NaN	NaN	NaN	1,7725106477737427	NaN	NaN	4644,03857421875	3633,595947265625	10712,30078125	7650,49755859375	7488,26025390625	6219,6103515625	NaN	NaN	4801,47607421875	1966,1929931640625	6780,5126953125	3938,004638671875
A0AVI4	TMEM129	Homo sapiens	E3 ubiquitin-protein ligase TM129	TM129_HUMAN	2	2	2	False	196318,9375	NaN	35794,47265625	18961,845703125	NaN	NaN	22734,650390625	8839,9736328125	NaN	NaN	8353,701171875	NaN	22206,048828125	NaN	12002,2265625	25114,33203125	NaN	NaN	17839,791015625	14397,3466796875	NaN	NaN	14379,1806640625	NaN
A0AVT1	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	38	38	40	False	441196,9375	522452,71875	511232,4375	479540,5	582425,5	477210,40625	641121,625	586105,5625	597088,5625	521297,78125	633338,0625	602817,75	114453,0390625	134180,359375	127355,7265625	102749,8359375	137429,328125	125340,5234375	126885,1171875	122395,09375	147058,234375	114910,2890625	135887,09375	132424,171875
