PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS1Quantity	[2] ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS1Quantity	[3] ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS1Quantity	[4] ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS1Quantity	[5] ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS1Quantity	[6] ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS1Quantity	[7] ASC_WT_WCL_Light_1.raw.PG.MS1Quantity	[8] ASC_WT_WCL_Light_2.raw.PG.MS1Quantity	[9] ASC_WT_WCL_Light_3.raw.PG.MS1Quantity	[10] ASC_WT_WCL_WO_1.raw.PG.MS1Quantity	[11] ASC_WT_WCL_WO_2.raw.PG.MS1Quantity	[12] ASC_WT_WCL_WO_3.raw.PG.MS1Quantity	[1] ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS2Quantity	[2] ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS2Quantity	[3] ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS2Quantity	[4] ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS2Quantity	[5] ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS2Quantity	[6] ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS2Quantity	[7] ASC_WT_WCL_Light_1.raw.PG.MS2Quantity	[8] ASC_WT_WCL_Light_2.raw.PG.MS2Quantity	[9] ASC_WT_WCL_Light_3.raw.PG.MS2Quantity	[10] ASC_WT_WCL_WO_1.raw.PG.MS2Quantity	[11] ASC_WT_WCL_WO_2.raw.PG.MS2Quantity	[12] ASC_WT_WCL_WO_3.raw.PG.MS2Quantity
A0A096LP49;A0A096LP49-2	CCDC187	Homo sapiens	Coiled-coil domain-containing protein 187;Isoform 2 of Coiled-coil domain-containing protein 187	CC187_HUMAN	1	1	1	False	NaN	NaN	NaN	28442,025390625	NaN	687,680908203125	43015,26953125	39679,52734375	NaN	NaN	18229,662109375	NaN	NaN	NaN	NaN	NaN	NaN	738,2904052734375	43,35493469238281	5372,1455078125	NaN	NaN	3434,05615234375	NaN
A0A0A0MS03	TRBV5-3	Homo sapiens	Probable non-functional T cell receptor beta variable 5-3	TVB53_HUMAN	1	1	1	False	18932,04296875	25636,546875	32675,361328125	10005,9912109375	18433,021484375	13894,748046875	NaN	NaN	12338,9833984375	30223,873046875	2,5137555599212646	NaN	5586,79736328125	10185,9921875	10157,6865234375	9192,947265625	4447,73193359375	8280,2783203125	NaN	NaN	6825,7421875	5406,11181640625	5387,45556640625	NaN
A0A0B4J2A2	PPIAL4C	Homo sapiens	Peptidyl-prolyl cis-trans isomerase A-like 4C	PAL4C_HUMAN	1	1	1	True	1176,047119140625	NaN	NaN	NaN	0,45951128005981445	0,21919846534729004	NaN	1028,4080810546875	37,357078552246094	234,39451599121094	135,4453887939453	81,88373565673828	1770,8328857421875	4772,7392578125	4688,3232421875	5742,41015625	2798,139892578125	6566,86474609375	6281,3544921875	39754,55859375	7011,873046875	6172,65771484375	4358,9716796875	2199,93701171875
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	9	9	14	False	901553,5	1098705,5	1027852	934925,375	953805,5	1038264,625	710111,125	787844,75	604172,8125	704875,9375	816059,25	713735,3125	94806,265625	113450,7265625	101434,234375	109059,0234375	105377,8046875	117533,9609375	62351,546875	91722,4375	73815,71875	74928,0546875	100809,9140625	68412,3515625
A0A0B4J2F0	PIGBOS1	Homo sapiens	Protein PIGBOS1	PIOS1_HUMAN	1	1	1	False	NaN	NaN	NaN	121024,1953125	186107,46875	157548,09375	230728,09375	184261,421875	366545,34375	78453,03125	103952,6796875	NaN	NaN	NaN	NaN	2519,674072265625	3322,68701171875	1972,867431640625	2019,314208984375	1675,71240234375	1436,736083984375	2482,029296875	2350,5576171875	NaN
A0A0C4DH36	IGHV3-38	Homo sapiens	Probable non-functional immunoglobulin heavy variable 3-38	HV338_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	NaN	707322,375	234159,359375	96850,6015625	NaN	343790,40625	382985,96875	NaN	NaN	NaN	NaN	NaN	NaN	3269,5927734375	3595,133544921875	1581,573974609375	NaN	3092,39404296875	2400,21630859375
A0A0U1RRL7	MMP24OS	Homo sapiens	Protein MMP24OS	MMPOS_HUMAN	2	2	2	True	51569,0703125	70610,46875	83250,84375	88162,90625	77490,96875	84669,8828125	73533,0234375	42803,94140625	49578,37109375	42954,8125	82272,2578125	68637,4453125	7489,1435546875	11609,7431640625	12010,5537109375	14628,259765625	11432,2666015625	15286,8955078125	9777,669921875	4780,22412109375	8838,4287109375	7928,1376953125	4317,05712890625	3716,283447265625
A0A1W2PR19	GSTT4	Homo sapiens	Glutathione S-transferase theta-4	GSTT4_HUMAN	1	1	1	False	61481,01171875	60136,31640625	67968,71875	NaN	16670,228515625	26680,755859375	39701,72265625	80415,1953125	53028,34765625	NaN	NaN	32134,318359375	12674,9208984375	11717,6142578125	11983,248046875	NaN	7365,4501953125	9323,1787109375	7235,17236328125	15858,14453125	11094,328125	NaN	NaN	4542,22314453125
A0AV96;A0AV96-2	RBM47	Homo sapiens	RNA-binding protein 47;Isoform 2 of RNA-binding protein 47	RBM47_HUMAN	1	1	1	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1616,2947998046875	9396,4150390625	28635,07421875	2256,076171875	12921,966796875	NaN	NaN	NaN	NaN	2500,304443359375	NaN	NaN	4239,4541015625	7230,080078125	28170,82421875	2978,3095703125	22039,8515625
A0AVF1;A0AVF1-2;A0AVF1-3	TTC26	Homo sapiens	Intraflagellar transport protein 56;Isoform 2 of Intraflagellar transport protein 56;Isoform 3 of Intraflagellar transport protein 56	IFT56_HUMAN	3	3	3	False	31765,275390625	33485,6640625	16661,685546875	9958,0830078125	22962,888671875	41155,16015625	33714,83984375	23996,046875	12923,4755859375	15851,6005859375	8818,767578125	19839,673828125	4341,84375	4467,65087890625	3635,27197265625	3556,22265625	3934,08837890625	3950,3203125	5121,58203125	5027,82861328125	4379,82958984375	5511,95068359375	2876,93212890625	5967,5712890625
