PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A0A075B6H7;A0A0C4DH55;P01624	IGKV3-7;IGKV3D-7;IGKV3-15	Homo sapiens	Probable non-functional immunoglobulin kappa variable 3-7;Immunoglobulin kappa variable 3D-7;Immunoglobulin kappa variable 3-15	KV37_HUMAN;KVD07_HUMAN;KV315_HUMAN	1	1	1	False	1096468,375	1531575,625	765547,8125	1077364	862013,1875	1092088,875	1386682,625	918955,0625	965915,4375	938974,75	930147,3125	1689703,75	342893,34375	471103,65625	273713,6875	423619,21875	303210,96875	422594,5	437556,75	326254,28125	260705,375	366069,15625	315049	543256,625
A0A075B6I0	IGLV8-61	Homo sapiens	Immunoglobulin lambda variable 8-61	LV861_HUMAN	1	1	1	False	32317,9921875	42418,87890625	16363,12890625	73611,53125	53461,55078125	1851,253662109375	43193,65234375	34255,6953125	27876,158203125	33436,53515625	30537,755859375	56128,921875	17378,376953125	16748,154296875	11099,4326171875	19262,7734375	14156,603515625	1530,117431640625	20184,8125	11730,2587890625	13199,890625	18879,474609375	14435,576171875	13010,421875
A0A075B6J2	IGLV2-33	Homo sapiens	Probable non-functional immunoglobulin lambda variable 2-33	LV233_HUMAN	1	1	1	False	17199,05859375	43447,7890625	14202,21875	17039,62109375	30444,703125	27217,955078125	11627,43359375	25397,353515625	40906,00390625	39078,5234375	NaN	NaN	10560,396484375	20309,728515625	8297,759765625	6650,19873046875	15072,91796875	19372,505859375	13454,5205078125	12990,818359375	15655,3193359375	14599,3125	NaN	NaN
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	4	4	4	False	27809,9765625	54106,8984375	34630,32421875	22382,869140625	32841,546875	8917,630859375	25039,3359375	17866,16015625	29468,345703125	14175,7333984375	21771,40234375	34987,44140625	4819,32421875	7377,12890625	5467,32373046875	5741,60498046875	5133,8095703125	3726,578857421875	4392,53662109375	4436,06201171875	5076,984375	4253,830078125	4113,31591796875	5578,837890625
A0A0C4DH25	IGKV3D-20	Homo sapiens	Immunoglobulin kappa variable 3D-20	KVD20_HUMAN	1	1	1	False	218859,421875	305334,34375	118907,078125	234000,015625	173113,171875	248927,53125	328475,21875	160670,21875	197427,265625	191655,5	212938,359375	340568,5	71066,75	97881,78125	49878,0625	94753,1328125	65681,2109375	81861,171875	88875,53125	66832,9375	58391,76953125	67567,1796875	67309,4921875	111365,5078125
A0A1B0GVG4	CCDC194	Homo sapiens	Coiled-coil domain-containing protein 194	CC194_HUMAN	1	1	1	False	33634,91015625	13545,2197265625	36632,53515625	27881,724609375	57654,5859375	25727,212890625	58673,51953125	56671,2265625	NaN	27027,8671875	27531,84765625	NaN	2133,769287109375	1074,9754638671875	1607,08642578125	1634,6182861328125	1596,19873046875	1273,99169921875	1473,2646484375	949,6138305664062	NaN	1473,23681640625	823,30322265625	NaN
A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-6	ESYT2	Homo sapiens	Extended synaptotagmin-2;Isoform 2 of Extended synaptotagmin-2;Isoform 4 of Extended synaptotagmin-2;Isoform 6 of Extended synaptotagmin-2	ESYT2_HUMAN	1	1	1	False	5442,9111328125	16338,8544921875	20487,552734375	54531,4453125	53488,0390625	26663,41015625	21916,140625	25170,712890625	9413,71484375	13487,59375	18154,37109375	NaN	2417,921142578125	3359,55078125	1734,4512939453125	3889,7822265625	2715,216552734375	3175,3037109375	3180,108642578125	4475,62109375	2857,191162109375	3536,781982421875	4540,81689453125	NaN
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	20	21	22	True	333126,59375	524853,1875	293431,90625	477348,15625	165247,546875	201716,1875	157791,109375	403755,375	210377,3125	146081,265625	176737,390625	186707,875	96295,7265625	142796,203125	86240,3515625	132099,734375	45163,87890625	67716,7265625	49501,50390625	117061,0703125	53236,66015625	41216,54296875	47910,62109375	39118,41015625
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	15	15	15	False	64534,70703125	59233,63671875	70118,5390625	65524,02734375	60396,0078125	82605,46875	56721,22265625	52227,64453125	72507,390625	62639,2109375	53622,234375	59658,8046875	14920,677734375	11952,40625	17757,55078125	12017,451171875	16329,5458984375	16015,3984375	16332,658203125	14656,9619140625	15875,671875	14425,068359375	15492,6923828125	14200,5966796875
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	30541,583984375	4181,8037109375	13910,86328125	21576,287109375	14434,576171875	33835,640625	17867,533203125	23138,64453125	NaN	26570,416015625	16313,4921875	16948,619140625	6294,5244140625	6177,35693359375	8610,1728515625	7860,32763671875	6755,17724609375	9504,001953125	8388,5947265625	6602,07275390625	NaN	8856,978515625	7489,8662109375	5241,78955078125
