PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	3	3	3	False	3891,752197265625	8443,1005859375	4462,7109375	8384,765625	5167,6416015625	5107,3017578125	4145,19677734375	10912,3095703125	4751,60107421875	2926,31884765625	1255,440185546875	3159,233642578125	1781,462646484375	1358,0478515625	1445,1673583984375	1927,7105712890625	1380,5245361328125	1395,5574951171875	1300,9453125	2,453972816467285	1540,3150634765625	1694,995849609375	1988,6539306640625	330,6825866699219
A0AVT1;A0AVT1-2	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6;Isoform 2 of Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	1	1	1	False	1120,74169921875	NaN	NaN	NaN	1513,236083984375	1429,8330078125	2178,028564453125	NaN	NaN	3669,373046875	1042,9046630859375	8445,021484375	793,2257080078125	525,7296142578125	766,8728637695312	1067,3546142578125	777,8600463867188	730,414794921875	866,7716064453125	NaN	806,7860717773438	1124,593017578125	556,1301879882812	885,7837524414062
A0FGR8;A0FGR8-2;A0FGR8-5;A0FGR8-6	ESYT2	Homo sapiens	Extended synaptotagmin-2;Isoform 2 of Extended synaptotagmin-2;Isoform 5 of Extended synaptotagmin-2;Isoform 6 of Extended synaptotagmin-2	ESYT2_HUMAN	1	1	1	False	1273,4534912109375	NaN	NaN	947,4087524414062	659,675048828125	4237,4150390625	1121,3614501953125	1646,5068359375	NaN	2242,312744140625	295,3433532714844	NaN	258,6722717285156	NaN	NaN	121,76237487792969	319,84173583984375	1198,7337646484375	181,4123992919922	894,9530639648438	NaN	922,784423828125	537,5077514648438	NaN
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	21	21	22	False	77466,03125	160681,734375	77907,328125	57142,1640625	154492,96875	102297,140625	86805,453125	145813,125	147643,140625	65751,15625	98509,8984375	111442,1953125	21076,16015625	42723,578125	22151,896484375	16377,6748046875	41548,8046875	30178,4296875	25067,412109375	44782,0859375	43571,59765625	17330,888671875	32096,3125	30540,9609375
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	9	9	9	False	21812,455078125	19846,744140625	20136,3671875	18343,7578125	14012,6201171875	13753,5771484375	14484,814453125	22548,806640625	23812,431640625	13902,55078125	14948,1044921875	18377,666015625	5344,0947265625	5155,81787109375	7052,119140625	5875,5478515625	5029,23486328125	4613,56494140625	4861,0859375	6175,55078125	5195,29150390625	4670,5634765625	5746,14892578125	5415,62744140625
A4D0V7	CPED1	Homo sapiens	Cadherin-like and PC-esterase domain-containing protein 1	CPED1_HUMAN	1	1	1	False	11776,60546875	5890,85498046875	10483,2294921875	3623,28466796875	5165,02294921875	6072,6865234375	NaN	3377,233642578125	NaN	4999,345703125	6976,12646484375	8471,18359375	1971,3162841796875	2003,8455810546875	1231,833740234375	1753,90625	1567,4022216796875	2227,552734375	NaN	1804,8778076171875	2116,385986328125	1066,005859375	1788,373779296875	1306,1220703125
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	22821,923828125	11569,892578125	39952,64453125	27860,607421875	16595,705078125	31673,125	14527,947265625	35361,390625	9117,01171875	19322,669921875	20803,005859375	28648,396484375	5487,42529296875	3040,892333984375	9275,0810546875	6455,578125	4413,64306640625	10187,7705078125	5117,8251953125	7128,25390625	4282,1669921875	7164,10888671875	4496,2666015625	7866,67431640625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	2	2	2	True	8200,3505859375	14381,9111328125	9961,6435546875	24181,029296875	15294,67578125	5889,9619140625	9119,03515625	5905,083984375	8056,44921875	5852,671875	6494,0205078125	3316,90185546875	924,2084350585938	2908,578369140625	1805,2486572265625	4649,47705078125	3609,776123046875	606,2181396484375	2382,188232421875	2,024576425552368	1935,29345703125	763,089599609375	1359,759521484375	317,4751892089844
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	6	6	6	False	5810,576171875	8358,5751953125	2908,496826171875	5709,15380859375	8052,2626953125	5709,13818359375	9343,8642578125	3081,74951171875	6549,8173828125	9295,7490234375	7316,3037109375	5131,06298828125	4621,04931640625	3711,898681640625	1949,7418212890625	3833,222900390625	2990,6123046875	3375,898193359375	3380,261474609375	876,1553344726562	3759,30517578125	5713,04541015625	4306,5673828125	2918,68017578125
A6NFN3;A6NFN3-2;O43251;O43251-10;O43251-2;O43251-4;O43251-5;O43251-6;O43251-7;O43251-8;O43251-9;Q9NWB1;Q9NWB1-2;Q9NWB1-3;Q9NWB1-4;Q9NWB1-5	RBFOX3;RBFOX3;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX1;RBFOX1;RBFOX1;RBFOX1;RBFOX1	Homo sapiens	RNA binding protein fox-1 homolog 3;Isoform 2 of RNA binding protein fox-1 homolog 3;RNA binding protein fox-1 homolog 2;Isoform 10 of RNA binding protein fox-1 homolog 2;Isoform 2 of RNA binding protein fox-1 homolog 2;Isoform 4 of RNA binding protein fox-1 homolog 2;Isoform 5 of RNA binding protein fox-1 homolog 2;Isoform 6 of RNA binding protein fox-1 homolog 2;Isoform 7 of RNA binding protein fox-1 homolog 2;Isoform 8 of RNA binding protein fox-1 homolog 2;Isoform 9 of RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1;Isoform 2 of RNA binding protein fox-1 homolog 1;Isoform 3 of RNA binding protein fox-1 homolog 1;Isoform 4 of RNA binding protein fox-1 homolog 1;Isoform 5 of RNA binding protein fox-1 homolog 1	RFOX3_HUMAN;RFOX3_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN	1	1	1	False	4976,66455078125	1230,0557861328125	2736,46875	1232,46923828125	1199,82373046875	6924,142578125	3216,493896484375	9062,4248046875	378,67547607421875	4038,093505859375	2468,989501953125	4187,84912109375	1724,8101806640625	205,82569885253906	479,31719970703125	437,3905944824219	397,10321044921875	2950,03466796875	1319,8212890625	3937,176025390625	526,8981323242188	1287,1307373046875	540,8513793945312	3,166313648223877
