PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS1Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS1Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS1Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS1Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS1Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS1Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	8	8	12	True	99676,59375	140311,671875	120553,859375	157886,421875	179974,390625	79050,6171875	76613,1328125	84701,125	48044,78125	92621,4453125	68248,90625	51644,80078125	21624,091796875	23375,607421875	18636,24609375	24886,3984375	30921,95703125	17463,234375	13706,529296875	12447,5537109375	7100,57958984375	18037,095703125	13101,28125	11517,6875
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	24	25	27	True	248298,296875	503884,53125	631705,8125	297225,75	317018,75	386597,34375	110475,8203125	208727,75	351844,78125	92583,7890625	128864,234375	144768,796875	71722,8046875	129052,7265625	170960,34375	81209,8671875	81017,4140625	111614,078125	29976,78515625	61395,2109375	104028,953125	30435,064453125	41982,8203125	46136,28125
A1L4K1;A1L4K1-2	FSD2	Homo sapiens	Fibronectin type III and SPRY domain-containing protein 2;Isoform 2 of Fibronectin type III and SPRY domain-containing protein 2	FSD2_HUMAN	1	1	1	False	NaN	NaN	0,027870995923876762	NaN	4,461614608764648	1	NaN	NaN	3,5579943656921387	NaN	NaN	NaN	7657,056640625	6159,97509765625	6901,283203125	6775,54345703125	6563,89501953125	3012,196533203125	10264,248046875	NaN	5353,6005859375	6781,77685546875	6414,251953125	8403,919921875
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	14	14	14	False	41149,98046875	32717,76953125	38468,29296875	41591,63671875	46920,390625	45055,92578125	35485,7109375	24975,64453125	30181,802734375	30284,95703125	36745,91796875	29363,73046875	20587,677734375	18018,548828125	19157,232421875	16928,85546875	19799,951171875	15792,2978515625	17781,759765625	17981,748046875	18439,44921875	18298,193359375	15563,943359375	16227,84765625
A2A288;A2A288-3;A2A288-4	ZC3H12D	Homo sapiens	Probable ribonuclease ZC3H12D;Isoform 2 of Probable ribonuclease ZC3H12D;Isoform 3 of Probable ribonuclease ZC3H12D	ZC12D_HUMAN	1	1	1	True	40564,73828125	103471,21875	99569,171875	77953,2578125	105954,5703125	118747,921875	47557,234375	102529,890625	NaN	89326,4609375	116219,6875	60861,56640625	386,7379150390625	1845,94140625	1326,85498046875	930,0599975585938	1381,878173828125	1310,6624755859375	605,998291015625	1156,3575439453125	NaN	693,1263427734375	957,2947387695312	751,36865234375
A2RUC4	TYW5	Homo sapiens	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	1	1	1	False	34109,65625	NaN	74564,7578125	58019,19921875	76659,25	64694,296875	37541,625	81521,1171875	NaN	53749,02734375	66345,671875	NaN	7195,13720703125	NaN	9702,3330078125	6186,57763671875	7613,7822265625	8314,3896484375	6647,3056640625	10507,6953125	NaN	4710,07861328125	9117,52734375	NaN
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	18968,109375	3362,49267578125	8742,04296875	3687,173095703125	NaN	13365,123046875	19001,666015625	7862,79296875	19505,224609375	11082,8486328125	3880,22216796875	21171,1796875	4348,9814453125	2235,841552734375	3194,111083984375	1492,7955322265625	NaN	4292,55859375	5454,724609375	2919,935302734375	6475,5771484375	4922,7275390625	3149,519287109375	6652,01416015625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	2	2	3	False	19000,962890625	73734,6796875	605,7596435546875	51972,2109375	2568,661865234375	20296,92578125	18958,349609375	22976,544921875	16061,638671875	9950,162109375	23086,498046875	35856,32421875	5704,31591796875	5313,4169921875	2826,223876953125	5173,642578125	3448,568115234375	4729,75390625	5793,1767578125	3575,22314453125	8054,66162109375	5126,25927734375	8993,865234375	10691,8740234375
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	7	7	7	False	112534,1953125	81235,015625	59601,71875	125831,4296875	106332,6640625	69961,171875	89740,1171875	49087,84765625	39393,34375	78589,09375	43071,4453125	44156,66796875	16481,421875	16877,28125	13824,044921875	16186,2607421875	19506,859375	13795,1884765625	19776,189453125	13614,1416015625	7747,29931640625	17012,583984375	20004,6328125	13333,974609375
A6NFA1	TRABD2B	Homo sapiens	Metalloprotease TIKI2	TIKI2_HUMAN	1	1	1	False	NaN	1223,80859375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	759,2953491210938	NaN	NaN	NaN	229,00820922851562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81,458251953125	NaN	NaN
