PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_TERT_TLR10_LOV_SN_WO_3.raw.PG.MS1Quantity	[2] ASC_TERT_TLR10_LOV_SN_WO_2.raw.PG.MS1Quantity	[3] ASC_TERT_TLR10_LOV_SN_WO_1.raw.PG.MS1Quantity	[4] ASC_TERT_TLR10_LOV_SN_Light_3.raw.PG.MS1Quantity	[5] ASC_TERT_TLR10_LOV_SN_Light_2.raw.PG.MS1Quantity	[6] ASC_TERT_TLR10_LOV_SN_Light_1.raw.PG.MS1Quantity	[7] ASC_TERT_TLR4_LOV_SN_WO_3.raw.PG.MS1Quantity	[8] ASC_TERT_TLR4_LOV_SN_WO_2.raw.PG.MS1Quantity	[9] ASC_TERT_TLR4_LOV_SN_WO_1.raw.PG.MS1Quantity	[10] ASC_TERT_TLR4_LOV_SN_LPS_3.raw.PG.MS1Quantity	[11] ASC_TERT_TLR4_LOV_SN_LPS_2.raw.PG.MS1Quantity	[12] ASC_TERT_TLR4_LOV_SN_LPS_1.raw.PG.MS1Quantity	[13] ASC_TERT_TLR4_LOV_SN_Light_3.raw.PG.MS1Quantity	[14] ASC_TERT_TLR4_LOV_SN_Light_2.raw.PG.MS1Quantity	[15] ASC_TERT_TLR4_LOV_SN_Light_1.raw.PG.MS1Quantity	[1] ASC_TERT_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[2] ASC_TERT_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[3] ASC_TERT_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[4] ASC_TERT_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity	[5] ASC_TERT_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[6] ASC_TERT_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[7] ASC_TERT_TLR4_LOV_SN_WO_3.raw.PG.MS2Quantity	[8] ASC_TERT_TLR4_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ASC_TERT_TLR4_LOV_SN_WO_1.raw.PG.MS2Quantity	[10] ASC_TERT_TLR4_LOV_SN_LPS_3.raw.PG.MS2Quantity	[11] ASC_TERT_TLR4_LOV_SN_LPS_2.raw.PG.MS2Quantity	[12] ASC_TERT_TLR4_LOV_SN_LPS_1.raw.PG.MS2Quantity	[13] ASC_TERT_TLR4_LOV_SN_Light_3.raw.PG.MS2Quantity	[14] ASC_TERT_TLR4_LOV_SN_Light_2.raw.PG.MS2Quantity	[15] ASC_TERT_TLR4_LOV_SN_Light_1.raw.PG.MS2Quantity
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	3	3	3	True	8145,021484375	6129,06640625	2742,89990234375	7440,35888671875	8623,9951171875	2033,9346923828125	2202,75732421875	1517,31201171875	6820,29833984375	801,9649047851562	2957,73046875	2782,151123046875	2695,331787109375	5011,10888671875	5141,33837890625	1019,2323608398438	983,8110961914062	620,5076293945312	843,8119506835938	1043,099365234375	703,1428833007812	279,1389465332031	245,87478637695312	901,3451538085938	446,1925354003906	675,694580078125	375,8915100097656	392,8227233886719	568,946044921875	1501,5108642578125
A0AVT1	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	10	10	10	True	6515,6533203125	7966,19287109375	6427,623046875	12589,0078125	5945,8876953125	8584,2900390625	7407,060546875	6237,9296875	8234,423828125	14579,2978515625	12201,6337890625	11950,51953125	10245,5927734375	6595,31005859375	6916,267578125	2092,179443359375	2471,153076171875	2015,232421875	3054,272216796875	2008,73486328125	3253,141357421875	1864,924560546875	1920,2393798828125	2882,73046875	3048,889404296875	3163,337890625	3677,975830078125	2542,402587890625	2137,221435546875	2844,7470703125
A0FGR8;A0FGR8-2;A0FGR8-6	ESYT2	Homo sapiens	Extended synaptotagmin-2;Isoform 2 of Extended synaptotagmin-2;Isoform 6 of Extended synaptotagmin-2	ESYT2_HUMAN	6	6	6	True	7025,50048828125	4783,1015625	6680,9013671875	5236,1416015625	5286,7626953125	12105,53515625	6814,326171875	6343,29931640625	3654,209716796875	9295,8486328125	7011,8662109375	8549,345703125	8382,4931640625	10026,0986328125	4964,853515625	1974,373779296875	1218,408447265625	1825,0374755859375	2581,522705078125	3360,0966796875	4294,04443359375	2218,300537109375	3253,905029296875	1409,9976806640625	4465,2783203125	3282,028564453125	2589,539306640625	4382,05419921875	3932,231689453125	2623,98291015625
A1L0T0	ILVBL	Homo sapiens	2-hydroxyacyl-CoA lyase 2	HACL2_HUMAN	1	1	1	True	3379,28515625	5766,13818359375	5430,3125	14864,6083984375	11367,7255859375	13283,658203125	12350,80859375	22539,904296875	1800,8917236328125	16660,599609375	18144,494140625	6572,666015625	20751,693359375	19278,599609375	13905,4765625	445,1748046875	316,0167236328125	640,362060546875	1359,7142333984375	1301,55126953125	1336,4803466796875	2576,15771484375	1707,39794921875	797,3949584960938	2970,36572265625	1971,6712646484375	1009,9783325195312	2291,60302734375	2388,223388671875	1581,32177734375
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	17	18	19	True	21441,49609375	24706,875	16943,93359375	32287,1953125	30425,4765625	35701,875	49768,76953125	53364,06640625	21698,818359375	40908,8515625	32357,17578125	35989,10546875	45224,78125	36828,22265625	18777,455078125	5777,61328125	6421,1201171875	5265,59912109375	8915,1845703125	8424,7822265625	8913,271484375	15247,421875	13105,1552734375	5842,677734375	12504,388671875	10367,568359375	9724,037109375	12337,0205078125	11310,5078125	5238,17529296875
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	16	16	16	False	11159,6708984375	14324,640625	14505,9921875	9768,2529296875	6151,23388671875	12564,2841796875	6692,6337890625	8601,966796875	17884,05078125	8159,02880859375	11466,376953125	14079,0595703125	6933,400390625	9445,552734375	10812,751953125	5248,3115234375	5562,072265625	4698,3857421875	4379,87548828125	2614,033447265625	5260,3916015625	2524,550048828125	3272,088623046875	5572,02880859375	2782,59765625	3356,006103515625	4512,380859375	2289,196533203125	3080,264892578125	5265,00146484375
A4D0V7	CPED1	Homo sapiens	Cadherin-like and PC-esterase domain-containing protein 1	CPED1_HUMAN	1	1	1	False	5573,94189453125	2668,77978515625	4510,0859375	6673,28857421875	2201,491455078125	13334,62890625	17362,921875	3010,935546875	4996,673828125	6597,875	6184,84326171875	676,4197387695312	7089,8681640625	7950,8935546875	827,0018920898438	1732,32373046875	2467,625732421875	2158,264892578125	2288,213134765625	1957,1639404296875	2968,51025390625	1072,08203125	3684,60107421875	1768,197021484375	1961,735107421875	1855,373046875	2542,203369140625	3278,54150390625	1290,1524658203125	191,50270080566406
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	6091,8154296875	10749,2275390625	10439,03125	4208,70263671875	1959,0330810546875	9767,689453125	3166,31494140625	5892,71240234375	8281,7080078125	4936,09619140625	8011,4375	4461,10205078125	2202,45849609375	17861,47265625	21911,38671875	2450,88623046875	3501,982177734375	984,797119140625	1950,8497314453125	376,5317687988281	3999,69580078125	1600,83447265625	813,9854125976562	2596,751220703125	1516,982421875	1304,7376708984375	4082,456298828125	467,29656982421875	4742,87158203125	5044,2080078125
A5YKK6;A5YKK6-2;A5YKK6-3	CNOT1	Homo sapiens	CCR4-NOT transcription complex subunit 1;Isoform 2 of CCR4-NOT transcription complex subunit 1;Isoform 3 of CCR4-NOT transcription complex subunit 1	CNOT1_HUMAN	4	4	4	False	5006,130859375	6244,9873046875	11533,3896484375	6696,0478515625	7266,4130859375	15113,0361328125	2624,1923828125	7157,3330078125	12731,85546875	7066,265625	7861,28076171875	7961,9052734375	1935,1806640625	8531,2216796875	9450,6337890625	903,6636352539062	993,4647827148438	571,6893310546875	1121,9041748046875	1294,198486328125	1502,3814697265625	268,5946350097656	821,9523315429688	883,259765625	693,2337646484375	898,64892578125	962,746826171875	517,0708618164062	1238,588623046875	935,934326171875
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	3	3	4	True	2746,240478515625	2272,726806640625	1477,7716064453125	1377,52783203125	5554,12646484375	1563,376708984375	2023,74462890625	2176,82470703125	3134,296630859375	1659,635009765625	1926,1107177734375	938,53369140625	1193,1412353515625	1858,7049560546875	979,433837890625	511,949951171875	592,90283203125	443,4847412109375	762,889892578125	2085,8701171875	396,24420166015625	825,1405639648438	533,4326171875	922,8167114257812	452,14825439453125	440,6523132324219	194,1678009033203	609,8630981445312	461,04803466796875	770,4779663085938
