Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	P0DJI8	P0DJI8	1,917191766911662	1,917191766911662	9,532092737660656E-10	8,001238643992354E-06	12	P0DJI8	SAA1	Serum amyloid A-1 protein	SAA1_HUMAN	6	277,68716751952576	3,7768716751952573	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P0DJI9	P0DJI9	1,5675504190295855	1,5675504190295855	1,0404892929556044E-07	0,00017467734250138685	12	P0DJI9	SAA2	Serum amyloid A-2 protein	SAA2_HUMAN	6	196,40102136713554	2,9640102136713553	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P06276	P06276	-2,7345615051468033	2,7345615051468033	8,382285934396567E-07	0,0005406357552875939	12	P06276	BCHE	Cholinesterase	CHLE_HUMAN	17	-84,97498334918731	0,15025016650812684	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P17342;P17342-2	P17342;P17342-2	1,704590840456662	1,704590840456662	9,84187391493036E-07	0,0005406357552875939	12	P17342;P17342-2	NPR3	Atrial natriuretic peptide receptor 3;Isoform 2 of Atrial natriuretic peptide receptor 3	ANPRC_HUMAN	11	225,93648172846184	3,2593648172846184	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O00151	O00151	1,1265721731108975	1,1265721731108975	3,5016981309601716E-06	0,0008907046700387782	12	O00151	PDLIM1	PDZ and LIM domain protein 1	PDLI1_HUMAN	17	118,3393516676419	2,183393516676419	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P09874	P09874	-0,9217256810043835	0,9217256810043835	5,442653843349167E-06	0,0010673570367080779	12	P09874	PARP1	Poly [ADP-ribose] polymerase 1	PARP1_HUMAN	4	-47,21227783330143	0,5278772216669857	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P46976;P46976-2	P46976;P46976-2	1,0018647213038567	1,0018647213038567	5,293794730037886E-06	0,0010673570367080779	12	P46976;P46976-2	GYG1	Glycogenin-1;Isoform GN-1 of Glycogenin-1	GLYG_HUMAN	8	100,25867239728777	2,0025867239728776	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q03154	Q03154	-0,8889095029811519	0,8889095029811519	7,672338802452228E-06	0,0010673570367080779	12	Q03154	ACY1	Aminoacylase-1	ACY1_HUMAN	12	-45,99778467694756	0,5400221532305244	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y3C0	Q9Y3C0	-1,9164709520804966	1,9164709520804966	6,874533943237823E-06	0,0010673570367080779	12	Q9Y3C0	WASHC3	WASH complex subunit 3	WASC3_HUMAN	2	-73,50982925432736	0,2649017074567263	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P37840;P37840-2	P37840;P37840-2	-5,02755224362599	5,02755224362599	8,209211328722322E-06	0,0010676234884717053	11	P37840;P37840-2	SNCA	Alpha-synuclein;Isoform 2-4 of Alpha-synuclein	SYUA_HUMAN	5	-96,93411422859663	0,030658857714033802	TLR10_Light	WT_Light	NaN	NaN	NaN
