Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q16762	Q16762	-1,9246993643833887	1,9246993643833887	1,5770520529708137E-07	0,00022062958221061684	12	Q16762	TST	Thiosulfate sulfurtransferase	THTR_HUMAN	6	-73,6604859204449	0,26339514079555104	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P24752	P24752	-1,27289699502709	1,27289699502709	5,112408117493298E-07	0,0004768172637582083	12	P24752	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	THIL_HUMAN	9	-58,61720466902482	0,4138279533097517	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P02794	P02794	-1,0824906797600327	1,0824906797600327	1,094925880377543E-06	0,0005406357552875939	12	P02794	FTH1	Ferritin heavy chain	FRIH_HUMAN	12	-52,778711269632254	0,4722128873036775	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P68366;P68366-2	P68366;P68366-2	-0,674804931896061	0,674804931896061	1,0589494783552753E-06	0,0005406357552875939	12	P68366;P68366-2	TUBA4A	Tubulin alpha-4A chain;Isoform 2 of Tubulin alpha-4A chain	TBA4A_HUMAN	3	-37,3583088015384	0,626416911984616	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P00738	P00738	1,3158985877291147	1,3158985877291147	1,8549940607817003E-06	0,000655244756608348	12	P00738	HP	Haptoglobin	HPT_HUMAN	15	148,95734634584653	2,4895734634584654	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O15382	O15382	-2,141245202539304	2,141245202539304	2,1771352214723954E-06	0,000676847149964418	12	O15382	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	BCAT2_HUMAN	4	-77,33159485907927	0,22668405140920725	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P09936	P09936	2,5953898170177454	2,5953898170177454	2,097660906305314E-06	0,000676847149964418	12	P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	UCHL1_HUMAN	7	504,3523085020304	6,043523085020304	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P55899	P55899	1,874814066352448	1,874814066352448	2,949881124168616E-06	0,0007987516824603665	12	P55899	FCGRT	IgG receptor FcRn large subunit p51	FCGRN_HUMAN	1	266,7543471616774	3,6675434716167743	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P09874	P09874	-0,855030328643448	0,855030328643448	3,110500611046678E-06	0,0008159231915351818	12	P09874	PARP1	Poly [ADP-ribose] polymerase 1	PARP1_HUMAN	4	-44,71462956707438	0,5528537043292562	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q07955;Q07955-2;Q07955-3	Q07955;Q07955-2;Q07955-3	-1,1262637750515554	1,1262637750515554	3,7941776521263878E-06	0,0009099522060556828	12	Q07955;Q07955-2;Q07955-3	SRSF1	Serine/arginine-rich splicing factor 1;Isoform ASF-2 of Serine/arginine-rich splicing factor 1;Isoform ASF-3 of Serine/arginine-rich splicing factor 1	SRSF1_HUMAN	4	-54,189944210456595	0,4581005578954341	TLR10_WO	WT_WO	NaN	NaN	NaN
