Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	P12277	P12277	0,8759731781884307	0,8759731781884307	3,3545963713898757E-08	7,287674250379427E-05	12	P12277	CKB	Creatine kinase B-type	KCRB_HUMAN	23	83,52456444039424	1,8352456444039424	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P49418;P49418-2	P49418;P49418-2	0,9900451360870981	0,9900451360870981	5,1722246629763494E-08	8,427278050876132E-05	12	P49418;P49418-2	AMPH	Amphiphysin;Isoform 2 of Amphiphysin	AMPH_HUMAN	15	98,62471315334528	1,986247131533453	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O14558	O14558	1,2339231192995375	1,2339231192995375	8,346666810718621E-08	9,13407248152956E-05	12	O14558	HSPB6	Heat shock protein beta-6	HSPB6_HUMAN	12	135,2057156961248	2,352057156961248	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P06276	P06276	-2,8972382269098937	2,8972382269098937	9,34336383135184E-08	9,13407248152956E-05	12	P06276	BCHE	Cholinesterase	CHLE_HUMAN	14	-86,57716075168402	0,1342283924831599	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P11137;P11137-3	P11137;P11137-3	-1,5635239766877271	1,5635239766877271	6,721041187517244E-08	9,13407248152956E-05	12	P11137;P11137-3	MAP2	Microtubule-associated protein 2;Isoform 3 of Microtubule-associated protein 2	MTAP2_HUMAN	9	-66,16763293302438	0,3383236706697562	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q10588	Q10588	2,093518029248866	2,093518029248866	2,0890761098778054E-07	0,0001361520536677695	12	Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1_HUMAN	9	326,7875316408477	4,267875316408477	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P27487	P27487	0,8320524251626822	0,8320524251626822	2,645478372950299E-07	0,00014652883620067204	12	P27487	DPP4	Dipeptidyl peptidase 4	DPP4_HUMAN	22	78,02161554539664	1,7802161554539664	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96LZ7	Q96LZ7	-0,688850008967493	0,688850008967493	4,3137233458986207E-07	0,00016868383771801967	12	Q96LZ7	RMDN2	Regulator of microtubule dynamics protein 2	RMD2_HUMAN	14	-37,96518594660988	0,6203481405339012	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q99424	Q99424	0,9757097742828935	0,9757097742828935	5,087961953939796E-07	0,0001842219113396868	12	Q99424	ACOX2	Peroxisomal acyl-coenzyme A oxidase 2	ACOX2_HUMAN	15	96,66084873231966	1,9666084873231966	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P04216	P04216	1,0149221442830585	1,0149221442830585	7,665287551169132E-07	0,00020389516395144785	12	P04216	THY1	Thy-1 membrane glycoprotein	THY1_HUMAN	5	102,07938369403489	2,020793836940349	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P27144	P27144	0,9042255570674943	0,9042255570674943	7,234817321788963E-07	0,00020389516395144785	12	P27144	AK4	Adenylate kinase 4, mitochondrial	KAD4_HUMAN	15	87,15395772334	1,8715395772334	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P48163	P48163	0,5950785985671113	0,5950785985671113	7,345371158841268E-07	0,00020389516395144785	12	P48163	ME1	NADP-dependent malic enzyme	MAOX_HUMAN	25	51,05548789176662	1,5105548789176662	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O15075	O15075	-3,18918183239189	3,18918183239189	2,003805312426037E-06	0,00032923026444162915	12	O15075	DCLK1	Serine/threonine-protein kinase DCLK1	DCLK1_HUMAN	18	-89,03621256652289	0,10963787433477103	TLR10_WO	WT_WO	NaN	NaN	NaN
