Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	P20333;P20333-2	P20333;P20333-2	-1,610966287126339	1,610966287126339	2,220575200389723E-08	4,873052277255247E-05	12	P20333;P20333-2	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B;Isoform 2 of Tumor necrosis factor receptor superfamily member 1B	TNR1B_HUMAN	2	-67,26209941313421	0,3273790058686579	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P08294	P08294	0,9187080493622155	0,9187080493622155	2,919012842064008E-06	0,0012208464965253638	12	P08294	SOD3	Extracellular superoxide dismutase [Cu-Zn]	SODE_HUMAN	8	89,042164006686	1,8904216400668599	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14114;Q14114-3	Q14114;Q14114-3	-0,8023958841676553	0,8023958841676553	3,51894797355103E-06	0,0013235816448540177	12	Q14114;Q14114-3	LRP8	Low-density lipoprotein receptor-related protein 8;Isoform 3 of Low-density lipoprotein receptor-related protein 8	LRP8_HUMAN	5	-42,660385281695966	0,5733961471830403	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q6UX15-2	Q6UX15-2	-0,5838658621155853	0,5838658621155853	4,550763852591472E-06	0,0013235816448540177	12	Q6UX15-2	LAYN	Isoform 2 of Layilin	LAYN_HUMAN	4	-33,28263860459628	0,6671736139540372	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9H4F8;Q9H4F8-2	Q9H4F8;Q9H4F8-2	-2,1912238374754693	2,1912238374754693	6,207487072884034E-06	0,0013971620904045141	12	Q9H4F8;Q9H4F8-2	SMOC1	SPARC-related modular calcium-binding protein 1;Isoform 2 of SPARC-related modular calcium-binding protein 1	SMOC1_HUMAN	12	-78,10343968890847	0,21896560311091523	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P29323;P29323-2;P29323-3	P29323;P29323-2;P29323-3	-1,1766864527401086	1,1766864527401086	7,418583579844621E-06	0,0014471183703083574	12	P29323;P29323-2;P29323-3	EPHB2	Ephrin type-B receptor 2;Isoform 2 of Ephrin type-B receptor 2;Isoform 3 of Ephrin type-B receptor 2	EPHB2_HUMAN	7	-55,76336513562985	0,4423663486437015	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9NR31	Q9NR31	-2,853809406223956	2,853809406223956	1,034144323249921E-05	0,0016504943399068739	12	Q9NR31	SAR1A	GTP-binding protein SAR1a	SAR1A_HUMAN	2	-86,16695572996034	0,13833044270039668	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P22352	P22352	0,841502816010628	0,841502816010628	1,803863234872514E-05	0,00204607791865218	12	P22352	GPX3	Glutathione peroxidase 3	GPX3_HUMAN	5	79,19157596986146	1,7919157596986146	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q7Z7M9	Q7Z7M9	0,9258530733775744	0,9258530733775744	1,742573260386511E-05	0,00204607791865218	12	Q7Z7M9	GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5	GALT5_HUMAN	17	89,98072761538572	1,8998072761538571	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8IUX7	Q8IUX7	1,8017236575296478	1,8017236575296478	1,8181143501352248E-05	0,00204607791865218	12	Q8IUX7	AEBP1	Adipocyte enhancer-binding protein 1	AEBP1_HUMAN	19	248,63650948839356	3,4863650948839355	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9BQE3	Q9BQE3	-1,9979444944817595	1,9979444944817595	1,6969823614565298E-05	0,00204607791865218	12	Q9BQE3	TUBA1C	Tubulin alpha-1C chain	TBA1C_HUMAN	2	-74,96435541703693	0,2503564458296308	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P09958	P09958	-0,6990842301618514	0,6990842301618514	2,036051651983846E-05	0,0020942763226328674	12	P09958	FURIN	Furin	FURIN_HUMAN	5	-38,403692665294145	0,6159630733470586	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O75095	O75095	-1,0861101809493179	1,0861101809493179	2,1132375060914E-05	0,002109830352277303	12	O75095	MEGF6	Multiple epidermal growth factor-like domains protein 6	MEGF6_HUMAN	10	-52,89703377170252	0,4710296622829749	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O94813	O94813	-0,7970632395297804	0,7970632395297804	3,469442333380702E-05	0,002771934193439659	12	O94813	SLIT2	Slit homolog 2 protein	SLIT2_HUMAN	25	-42,44804823852496	0,5755195176147504	TLR10_Light	WT_Light	NaN	NaN	NaN
