Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q7Z4W1	Q7Z4W1	1,795039303743368	1,795039303743368	2,308539313046644E-07	0,00028949082985604916	12	Q7Z4W1	DCXR	L-xylulose reductase	DCXR_HUMAN	1	247,02492882896973	3,4702492882896974	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8IUX7	Q8IUX7	1,6465165465281983	1,6465165465281983	7,881366653190437E-07	0,0006918263648170565	12	Q8IUX7	AEBP1	Adipocyte enhancer-binding protein 1	AEBP1_HUMAN	19	213,07678750973133	3,1307678750973134	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P09936	P09936	1,9133561049954964	1,9133561049954964	4,585509917581217E-06	0,0013235816448540177	12	P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	UCHL1_HUMAN	6	276,6843525365617	3,7668435253656165	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P29323;P29323-2;P29323-3	P29323;P29323-2;P29323-3	-1,2889809575394646	1,2889809575394646	6,8275003886516246E-06	0,0014100443053478538	12	P29323;P29323-2;P29323-3	EPHB2	Ephrin type-B receptor 2;Isoform 2 of Ephrin type-B receptor 2;Isoform 3 of Ephrin type-B receptor 2	EPHB2_HUMAN	7	-59,07600075883492	0,40923999241165077	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O14880	O14880	5,137312465675928	5,137312465675928	1,0805957069822754E-05	0,001664117388752704	12	O14880	MGST3	Microsomal glutathione S-transferase 3	MGST3_HUMAN	2	3419,5338724597023	35,19533872459702	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P37840;P37840-2	P37840;P37840-2	-5,286634167869383	5,286634167869383	1,343099477553011E-05	0,0018713852720571953	11	P37840;P37840-2	SNCA	Alpha-synuclein;Isoform 2-4 of Alpha-synuclein	SYUA_HUMAN	5	-97,43808604485453	0,025619139551454635	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P16219	P16219	3,3127244371902593	3,3127244371902593	1,762822684864129E-05	0,00204607791865218	12	P16219	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADS_HUMAN	2	893,640816355783	9,93640816355783	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13057;Q13057-2	Q13057;Q13057-2	1,582084289231243	1,582084289231243	1,9110211738345276E-05	0,002084174882340967	12	Q13057;Q13057-2	COASY	Bifunctional coenzyme A synthase;Isoform 2 of Bifunctional coenzyme A synthase	COASY_HUMAN	1	199,4020893676108	2,994020893676108	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P48307;P48307-2	P48307;P48307-2	-3,1664204953634667	3,1664204953634667	2,0261115863954825E-05	0,0020942763226328674	12	P48307;P48307-2	TFPI2	Tissue factor pathway inhibitor 2;Isoform 2 of Tissue factor pathway inhibitor 2	TFPI2_HUMAN	2	-88,86186565272061	0,11138134347279396	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O00469-2	O00469-2	0,6390930160243937	0,6390930160243937	2,366476638072842E-05	0,002210166086727563	12	O00469-2	PLOD2	Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2_HUMAN	23	55,734978713754856	1,5573497871375486	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O94813	O94813	-0,8093155852546868	0,8093155852546868	3,3882181563836406E-05	0,002753868423771814	12	O94813	SLIT2	Slit homolog 2 protein	SLIT2_HUMAN	25	-42,93474886322905	0,5706525113677094	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P25774	P25774	-0,6130729533556863	0,6130729533556863	3,672707772506855E-05	0,0028486610884868304	12	P25774	CTSS	Cathepsin S	CATS_HUMAN	6	-34,61973876741333	0,6538026123258667	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q92947;Q92947-2	Q92947;Q92947-2	10,173954428901679	10,173954428901679	4,054347415863783E-05	0,0028700856142300233	10	Q92947;Q92947-2	GCDH	Glutaryl-CoA dehydrogenase, mitochondrial;Isoform Short of Glutaryl-CoA dehydrogenase, mitochondrial	GCDH_HUMAN	2	115422,20176287062	1155,2220176287062	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q99941;Q99941-2	Q99941;Q99941-2	-0,6143785739879956	0,6143785739879956	4,170205095828197E-05	0,002905242883426977	12	Q99941;Q99941-2	ATF6B	Cyclic AMP-dependent transcription factor ATF-6 beta;Isoform 1 of Cyclic AMP-dependent transcription factor ATF-6 beta	ATF6B_HUMAN	6	-34,67888030568938	0,6532111969431061	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P55283	P55283	-0,8470037084286824	0,8470037084286824	4,481064364513401E-05	0,003025752537822972	12	P55283	CDH4	Cadherin-4	CADH4_HUMAN	7	-44,40618502750062	0,5559381497249938	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P50135	P50135	9,4283624479197	9,4283624479197	5,766462310098024E-05	0,0032447439844897727	10	P50135	HNMT	Histamine N-methyltransferase	HNMT_HUMAN	2	68800,10865946082	689,0010865946082	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P30153	P30153	-0,9824075314510151	0,9824075314510151	6,0487510359003355E-05	0,003371580123349157	12	P30153	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	2AAA_HUMAN	13	-49,386558900214595	0,5061344109978541	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O00571	O00571	-1,3722421294725617	1,3722421294725617	6,291384050185701E-05	0,00345161057453313	12	O00571	DDX3X	ATP-dependent RNA helicase DDX3X	DDX3X_HUMAN	8	-61,37095622667002	0,3862904377332998	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96RQ3	Q96RQ3	1,9414828656768632	1,9414828656768632	6,579311329004363E-05	0,003543140788098178	12	Q96RQ3	MCCC1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	MCCA_HUMAN	1	284,10024009545134	3,841002400954513	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q7Z7M9	Q7Z7M9	0,9925011222299349	0,9925011222299349	6,796758672418892E-05	0,0035836273295617813	12	Q7Z7M9	GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5	GALT5_HUMAN	17	98,96313186777807	1,9896313186777808	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96TA1;Q96TA1-2	Q96TA1;Q96TA1-2	-1,1785091195332122	1,1785091195332122	6,935757183966567E-05	0,0035836273295617813	12	Q96TA1;Q96TA1-2	NIBAN2	Protein Niban 2;Isoform 2 of Protein Niban 2	NIBA2_HUMAN	8	-55,81921736524348	0,4418078263475652	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q93083	Q93083	2,128017973184157	2,128017973184157	9,96355081604476E-05	0,004323941068581365	10	Q93083	MT1L	Metallothionein-1L	MT1L_HUMAN	1	337,11654123139886	4,371165412313989	TLR10_WO	WT_WO	NaN	NaN	NaN
