Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	P35580;P35580-2;P35580-5	P35580;P35580-2;P35580-5	1,2044885267254828	1,2044885267254828	6,583684022400975E-11	1,168077219254381E-06	12	P35580;P35580-2;P35580-5	MYH10	Myosin-10;Isoform 2 of Myosin-10;Isoform 5 of Myosin-10	MYH10_HUMAN	66	130,45555233057172	2,304555523305717	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q15274	Q15274	1,892136942398656	1,892136942398656	1,8356018194633802E-09	5,427874580153215E-06	12	Q15274	QPRT	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	NADC_HUMAN	9	271,1846222200639	3,7118462222006388	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q6UXH9;Q6UXH9-2	Q6UXH9;Q6UXH9-2	0,5901240085132831	0,5901240085132831	2,5953073979401123E-08	2,315473505743036E-05	12	Q6UXH9;Q6UXH9-2	PAMR1	Inactive serine protease PAMR1;Isoform 2 of Inactive serine protease PAMR1	PAMR1_HUMAN	16	50,53761381891901	1,5053761381891901	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q10588	Q10588	1,688602021443582	1,688602021443582	3,962140281873209E-08	2,92901220337477E-05	12	Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1_HUMAN	8	222,34419919725892	3,223441991972589	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P40121	P40121	0,7559302552209141	0,7559302552209141	6,173527568339523E-08	3,6510242039159935E-05	12	P40121	CAPG	Macrophage-capping protein	CAPG_HUMAN	12	68,87201344063423	1,6887201344063423	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05787;P05787-2	P05787;P05787-2	0,719267709001236	0,719267709001236	2,0315983658629256E-07	9,74178870463244E-05	12	P05787;P05787-2	KRT8	Keratin, type II cytoskeletal 8;Isoform 2 of Keratin, type II cytoskeletal 8	K2C8_HUMAN	17	64,63461610720512	1,6463461610720511	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P12277	P12277	0,6956198757230263	0,6956198757230263	3,0476612522665815E-07	0,00013161147182689685	12	P12277	CKB	Creatine kinase B-type	KCRB_HUMAN	21	61,958016070661245	1,6195801607066125	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P11217	P11217	0,5885067268855595	0,5885067268855595	3,5335952639534867E-07	0,00013210391398604096	12	P11217	PYGM	Glycogen phosphorylase, muscle form	PYGM_HUMAN	17	50,36895356905959	1,503689535690596	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O00748;O00748-4	O00748;O00748-4	1,264861854176068	1,264861854176068	4,939370045984109E-07	0,0001622857469552779	12	O00748;O00748-4	CES2	Cocaine esterase;Isoform 3 of Cocaine esterase	EST2_HUMAN	4	140,3041983818073	2,403041983818073	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O15231;O15231-3;O15231-4;O15231-5;O15231-6;O15231-7;O15231-8	O15231;O15231-3;O15231-4;O15231-5;O15231-6;O15231-7;O15231-8	1,5984186757914476	1,5984186757914476	5,154194132677764E-07	0,00016626493145812526	12	O15231;O15231-3;O15231-4;O15231-5;O15231-6;O15231-7;O15231-8	ZNF185	Zinc finger protein 185;Isoform 3 of Zinc finger protein 185;Isoform 4 of Zinc finger protein 185;Isoform 5 of Zinc finger protein 185;Isoform 6 of Zinc finger protein 185;Isoform 7 of Zinc finger protein 185;Isoform 8 of Zinc finger protein 185	ZN185_HUMAN	8	202,81122285530597	3,0281122285530597	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q96DP5	Q96DP5	1,3365831184239318	1,3365831184239318	7,743948757677367E-07	0,00019181487525736274	12	Q96DP5	MTFMT	Methionyl-tRNA formyltransferase, mitochondrial	FMT_HUMAN	2	152,55246419126487	2,5255246419126487	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q8TB45	Q8TB45	2,013509654033568	2,013509654033568	7,847159007319309E-07	0,00019181487525736274	12	Q8TB45	DEPTOR	DEP domain-containing mTOR-interacting protein	DPTOR_HUMAN	5	303,76326387970096	4,037632638797009	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P04216	P04216	0,5900526698573965	0,5900526698573965	1,2782418305008057E-06	0,00022467275071079708	12	P04216	THY1	Thy-1 membrane glycoprotein	THY1_HUMAN	3	50,530170190699295	1,505301701906993	TLR10_Light	WT_Light	NaN	NaN	NaN
