Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	P09936	P09936	1,6918133167742926	1,6918133167742926	7,769221923308383E-10	2,988789767066992E-06	12	P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	UCHL1_HUMAN	10	223,0625043896776	3,230625043896776	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P55854;P55854-2	P55854;P55854-2	3,730700639366694	3,730700639366694	5,105955582836422E-09	1,1323732993835475E-05	12	P55854;P55854-2	SUMO3	Small ubiquitin-related modifier 3;Isoform 2 of Small ubiquitin-related modifier 3	SUMO3_HUMAN	2	1227,5558392256917	13,275558392256917	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P38571;P38571-2	P38571;P38571-2	1,0224917078342592	1,0224917078342592	1,606973409374001E-08	1,9007281486075686E-05	12	P38571;P38571-2	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase;Isoform 2 of Lysosomal acid lipase/cholesteryl ester hydrolase	LICH_HUMAN	11	103,14244458277524	2,0314244458277524	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P14406	P14406	0,7855759073137746	0,7855759073137746	3,1577798619372655E-08	2,5466059232041343E-05	12	P14406	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	CX7A2_HUMAN	2	72,37802954223976	1,7237802954223975	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UKX5;Q9UKX5-2	Q9UKX5;Q9UKX5-2	1,4690626946278915	1,4690626946278915	4,5045583446235537E-07	0,00015324556317133957	12	Q9UKX5;Q9UKX5-2	ITGA11	Integrin alpha-11;Isoform 2 of Integrin alpha-11	ITA11_HUMAN	18	176,84197356106543	2,7684197356106544	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P23743	P23743	0,7790534451884267	0,7790534451884267	5,57085348395801E-07	0,00017330400253466206	12	P23743	DGKA	Diacylglycerol kinase alpha	DGKA_HUMAN	15	71,60046297263678	1,7160046297263678	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9BUP3-3	Q9BUP3-3	0,7017346772474888	0,7017346772474888	5,665444790333897E-07	0,00017330400253466206	12	Q9BUP3-3	HTATIP2	Isoform 3 of Oxidoreductase HTATIP2	HTAI2_HUMAN	12	62,645925034857974	1,6264592503485797	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P50453	P50453	0,9628537067902312	0,9628537067902312	6,347053556489181E-07	0,00018460561344136236	12	P50453	SERPINB9	Serpin B9	SPB9_HUMAN	12	94,91616014620384	1,9491616014620383	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P00966	P00966	1,043278973770335	1,043278973770335	6,77371386113795E-07	0,00019007415310377042	12	P00966	ASS1	Argininosuccinate synthase	ASSY_HUMAN	22	106,09063859374173	2,0609063859374173	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P05787;P05787-2	P05787;P05787-2	0,9035256618521462	0,9035256618521462	8,134219331368665E-07	0,00019181487525736274	12	P05787;P05787-2	KRT8	Keratin, type II cytoskeletal 8;Isoform 2 of Keratin, type II cytoskeletal 8	K2C8_HUMAN	17	87,06318566978672	1,8706318566978672	TLR10_WO	WT_WO	NaN	NaN	NaN
