Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q9H492	Q9H492	-1,1972041688271204	1,1972041688271204	3,98530109334997E-07	0,0005065628209002894	12	Q9H492	MAP1LC3A	Microtubule-associated proteins 1A/1B light chain 3A	MLP3A_HUMAN	2	-56,38803707163108	0,4361196292836892	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P62979	P62979	-2,083541017478928	2,083541017478928	2,1544645341707218E-06	0,0008553152667383848	12	P62979	RPS27A	Ubiquitin-40S ribosomal protein S27a	RS27A_HUMAN	3	-76,40653884017986	0,23593461159820142	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	O15498	O15498	-2,8082734327241465	2,8082734327241465	4,026023077401511E-06	0,0011250904490847495	12	O15498	YKT6	Synaptobrevin homolog YKT6	YKT6_HUMAN	2	-85,72337800645563	0,1427662199354437	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P19320	P19320	1,4063929539046538	1,4063929539046538	3,7659542177133392E-06	0,0011250904490847495	12	P19320	VCAM1	Vascular cell adhesion protein 1	VCAM1_HUMAN	18	165,07359296830197	2,6507359296830195	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P35637;P35637-2	P35637;P35637-2	-0,9063862647333415	0,9063862647333415	9,218864806963361E-06	0,0015181494866038593	12	P35637;P35637-2	FUS	RNA-binding protein FUS;Isoform Short of RNA-binding protein FUS	FUS_HUMAN	4	-46,64801937958174	0,5335198062041826	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P30043	P30043	-0,609425781750194	0,609425781750194	1,0707631259040789E-05	0,0016457629245145691	12	P30043	BLVRB	Flavin reductase (NADPH)	BLVRB_HUMAN	5	-34,45424662421743	0,6554575337578257	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P12110-2	P12110-2	0,7182946929623534	0,7182946929623534	1,8654231788014453E-05	0,0023493675822438163	12	P12110-2	COL6A2	Isoform 2C2A of Collagen alpha-2(VI) chain	CO6A2_HUMAN	3	64,52361682504373	1,6452361682504373	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P62263	P62263	-0,6060839199088832	0,6060839199088832	1,9074625308443463E-05	0,0023493675822438163	12	P62263	RPS14	40S ribosomal protein S14	RS14_HUMAN	7	-34,302240316693975	0,6569775968330602	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P43121	P43121	1,0435135331419276	1,0435135331419276	2,4047087940956372E-05	0,0027285731093739845	12	P43121	MCAM	Cell surface glycoprotein MUC18	MUC18_HUMAN	5	106,12414839257079	2,061241483925708	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P63241	P63241	-0,8693698603841663	0,8693698603841663	2,647933998191237E-05	0,0028218423740376327	12	P63241	EIF5A	Eukaryotic translation initiation factor 5A-1	IF5A1_HUMAN	6	-45,26141146439054	0,5473858853560946	TLR10_Light	WT_Light	NaN	NaN	NaN
