Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	P05186	P05186	1,415578240209016	1,415578240209016	8,596244269594768E-07	0,0005662468903871639	12	P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme	PPBT_HUMAN	12	166,76663554729348	2,6676663554729347	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13740;Q13740-2	Q13740;Q13740-2	0,8474871904285974	0,8474871904285974	7,3891947474461755E-06	0,0013361402737440907	12	Q13740;Q13740-2	ALCAM	CD166 antigen;Isoform 2 of CD166 antigen	CD166_HUMAN	19	79,93641573982862	1,7993641573982861	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P48745	P48745	1,1658260264184857	1,1658260264184857	8,60268886127388E-06	0,0014968678618616552	12	P48745	CCN3	CCN family member 3	CCN3_HUMAN	11	124,36163886230216	2,2436163886230216	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P78504	P78504	0,8046941641472748	0,8046941641472748	8,993727966427827E-06	0,0015181494866038593	12	P78504	JAG1	Protein jagged-1	JAG1_HUMAN	11	74,67754549466672	1,7467754549466672	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O75832	O75832	-1,0369239968942066	1,0369239968942066	1,9106763030610087E-05	0,0023493675822438163	12	O75832	PSMD10	26S proteasome non-ATPase regulatory subunit 10	PSD10_HUMAN	3	-51,263451016417136	0,48736548983582856	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O75531	O75531	-3,2373682981535095	3,2373682981535095	2,289774878740601E-05	0,002707218452787926	12	O75531	BANF1	Barrier-to-autointegration factor	BAF_HUMAN	5	-89,39635852300412	0,1060364147699587	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UBI1	Q9UBI1	-0,7994037775434542	0,7994037775434542	2,6505017852913986E-05	0,0028218423740376327	10	Q9UBI1	COMMD3	COMM domain-containing protein 3	COMD3_HUMAN	3	-42,541341221197996	0,5745865877880201	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UM47	Q9UM47	1,1689356716729649	1,1689356716729649	6,752816665712843E-05	0,004512643137043756	12	Q9UM47	NOTCH3	Neurogenic locus notch homolog protein 3	NOTC3_HUMAN	21	124,8457588849945	2,248457588849945	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P10515	P10515	-3,407864656922661	3,407864656922661	7,396442093135971E-05	0,0046087830393851306	12	P10515	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	ODP2_HUMAN	2	-90,57827297932722	0,0942172702067278	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P63173	P63173	-0,8014570230513262	0,8014570230513262	8,491796069422186E-05	0,004911650977287208	12	P63173	RPL38	60S ribosomal protein L38	RL38_HUMAN	2	-42,623058297347484	0,5737694170265252	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P24592	P24592	0,7502074856600407	0,7502074856600407	0,0001015286075286794	0,005224856073022387	12	P24592	IGFBP6	Insulin-like growth factor-binding protein 6	IBP6_HUMAN	5	68,20347201509875	1,6820347201509875	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q68BL7	Q68BL7	0,6346677095486832	0,6346677095486832	0,00010164986783467117	0,005224856073022387	12	Q68BL7	OLFML2A	Olfactomedin-like protein 2A	OLM2A_HUMAN	14	55,258010895628786	1,5525801089562878	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P35052	P35052	0,8307674561641155	0,8307674561641155	0,00013148751283883619	0,005719706808489374	12	P35052	GPC1	Glypican-1	GPC1_HUMAN	15	77,86312715448933	1,7786312715448933	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P37198	P37198	-2,2116055899619003	2,2116055899619003	0,00014378995371007734	0,005946327144010463	12	P37198	NUP62	Nuclear pore glycoprotein p62	NUP62_HUMAN	2	-78,4106096440119	0,215893903559881	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O00469-2	O00469-2	0,8979348735612458	0,8979348735612458	0,00015088555195687998	0,006121954215664643	12	O00469-2	PLOD2	Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2_HUMAN	13	86,3396738868826	1,863396738868826	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P14555	P14555	-0,7283573388960111	0,7283573388960111	0,00015829384360955545	0,006265175217885496	12	P14555	PLA2G2A	Phospholipase A2, membrane associated	PA2GA_HUMAN	4	-39,640922523569124	0,6035907747643088	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P41567	P41567	-3,181600004739937	3,181600004739937	0,0001660451698121898	0,006380285650033393	12	P41567	EIF1	Eukaryotic translation initiation factor 1	EIF1_HUMAN	4	-88,97844266139161	0,11021557338608395	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13561;Q13561-2;Q13561-3	Q13561;Q13561-2;Q13561-3	-0,7441477827538373	0,7441477827538373	0,0001927226772788089	0,006757751064126143	12	Q13561;Q13561-2;Q13561-3	DCTN2	Dynactin subunit 2;Isoform 2 of Dynactin subunit 2;Isoform 3 of Dynactin subunit 2	DCTN2_HUMAN	10	-40,297956550218004	0,5970204344978199	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q16774;Q16774-2;Q16774-3	Q16774;Q16774-2;Q16774-3	-1,7101531409022313	1,7101531409022313	0,0001921605099835415	0,006757751064126143	12	Q16774;Q16774-2;Q16774-3	GUK1	Guanylate kinase;Isoform 2 of Guanylate kinase;Isoform 3 of Guanylate kinase	KGUA_HUMAN	2	-69,43723744221457	0,3056276255778544	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P80217;P80217-2	P80217;P80217-2	-1,9867734186475416	1,9867734186475416	0,00021338067077081074	0,00710605996841675	12	P80217;P80217-2	IFI35	Interferon-induced 35 kDa protein;Isoform 2 of Interferon-induced 35 kDa protein	IN35_HUMAN	5	-74,76974694717626	0,2523025305282375	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O14908;O14908-2	O14908;O14908-2	-1,248681703130747	1,248681703130747	0,0002325617285790715	0,00734480911286369	12	O14908;O14908-2	GIPC1	PDZ domain-containing protein GIPC1;Isoform 2 of PDZ domain-containing protein GIPC1	GIPC1_HUMAN	3	-57,91674222474663	0,42083257775253363	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P08865	P08865	-0,8093646912717865	0,8093646912717865	0,00023439184979782293	0,00735225047222967	12	P08865	RPSA	40S ribosomal protein SA	RSSA_HUMAN	7	-42,93669119991714	0,5706330880008286	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P10644	P10644	-0,59905384503871	0,59905384503871	0,00023801271883913596	0,007390415128399029	12	P10644	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	KAP0_HUMAN	8	-33,98132197976948	0,6601867802023051	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q8WWI5	Q8WWI5	0,9951195069043788	0,9951195069043788	0,00028547625826869745	0,007922219847834285	12	Q8WWI5	SLC44A1	Choline transporter-like protein 1	CTL1_HUMAN	6	99,32456310609179	1,993245631060918	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q6ZVM7;Q6ZVM7-2	Q6ZVM7;Q6ZVM7-2	-1,3010851440726665	1,3010851440726665	0,0003246105691518603	0,00836189572267725	12	Q6ZVM7;Q6ZVM7-2	TOM1L2	TOM1-like protein 2;Isoform 2 of TOM1-like protein 2	TM1L2_HUMAN	4	-59,417916069833545	0,40582083930166457	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9BRK3;Q9BRK3-2;Q9BRK3-3	Q9BRK3;Q9BRK3-2;Q9BRK3-3	0,6598480616743689	0,6598480616743689	0,00032676943759975773	0,008384063483877616	12	Q9BRK3;Q9BRK3-2;Q9BRK3-3	MXRA8	Matrix remodeling-associated protein 8;Isoform 2 of Matrix remodeling-associated protein 8;Isoform 3 of Matrix remodeling-associated protein 8	MXRA8_HUMAN	13	57,99162251047185	1,5799162251047185	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P98066	P98066	0,7083078160544036	0,7083078160544036	0,0003481174068539153	0,008603977818057695	12	P98066	TNFAIP6	Tumor necrosis factor-inducible gene 6 protein	TSG6_HUMAN	9	63,38865540583405	1,6338865540583405	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P46783	P46783	-0,7804360845705036	0,7804360845705036	0,00035096124038192216	0,008605908053120706	12	P46783	RPS10	40S ribosomal protein S10	RS10_HUMAN	9	-41,780921263468485	0,5821907873653152	TLR10_WO	WT_WO	NaN	NaN	NaN
