Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_Light / WT_Light	Q9P266	Q9P266	0,8267690618927283	0,8267690618927283	2,1516582823109757E-09	2,1041595361231307E-05	12	Q9P266	JCAD	Junctional protein associated with coronary artery disease	JCAD_HUMAN	17	77,37086627643839	1,7737086627643839	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P16219	P16219	-1,0190402271386483	1,0190402271386483	7,205303652647257E-09	4,7093864673702476E-05	12	P16219	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADS_HUMAN	12	-50,655548612400246	0,4934445138759976	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P05186	P05186	1,7131182649247503	1,7131182649247503	6,18133307806089E-08	0,0002078252918250179	12	P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme	PPBT_HUMAN	21	227,86871899137492	3,2786871899137493	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P08582	P08582	1,450119771622073	1,450119771622073	7,15432843644875E-08	0,0002078252918250179	12	P08582	MELTF	Melanotransferrin	TRFM_HUMAN	19	173,23073385056708	2,7323073385056706	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P30047	P30047	-2,855284848547658	2,855284848547658	1,3718930474806124E-07	0,00023911181222222084	12	P30047	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	GFRP_HUMAN	4	-86,18109553455689	0,13818904465443116	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P12277	P12277	1,252263110006598	1,252263110006598	2,985953572863684E-07	0,00032526987587061735	12	P12277	CKB	Creatine kinase B-type	KCRB_HUMAN	21	138,21481008975925	2,3821481008975924	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9Y2S2;Q9Y2S2-2	Q9Y2S2;Q9Y2S2-2	-0,8307138294243767	0,8307138294243767	3,281870034401311E-07	0,0003432048407175515	12	Q9Y2S2;Q9Y2S2-2	CRYL1	Lambda-crystallin homolog;Isoform 2 of Lambda-crystallin homolog	CRYL1_HUMAN	8	-43,77490220074151	0,5622509779925849	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q14315	Q14315	0,6563727213646627	0,6563727213646627	3,7089510051156023E-07	0,00037294928876054734	12	Q14315	FLNC	Filamin-C	FLNC_HUMAN	101	57,61149099938869	1,576114909993887	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	P09936	P09936	3,9191480365673783	3,9191480365673783	5,06728744428663E-07	0,0004906635664571468	10	P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	UCHL1_HUMAN	7	1412,7986088109515	15,127986088109514	TLR10_Light	WT_Light	NaN	NaN	NaN
TLR10_Light / WT_Light	Q9UHL4	Q9UHL4	-0,6440010701949727	0,6440010701949727	5,825310091303545E-07	0,0005076563567567997	12	Q9UHL4	DPP7	Dipeptidyl peptidase 2	DPP2_HUMAN	13	-36,006426778403	0,63993573221597	TLR10_Light	WT_Light	NaN	NaN	NaN
