Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	Q10588	Q10588	3,131133893353453	3,131133893353453	5,529724507091484E-10	1,4456911751339977E-05	12	Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1_HUMAN	9	776,1232839367235	8,761232839367235	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P35580;P35580-2;P35580-5	P35580;P35580-2;P35580-5	1,6306112564877195	1,6306112564877195	1,264317433530888E-08	6,610862996446307E-05	12	P35580;P35580-2;P35580-5	MYH10	Myosin-10;Isoform 2 of Myosin-10;Isoform 5 of Myosin-10	MYH10_HUMAN	88	209,6441642758377	3,096441642758377	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P05186	P05186	1,3509858661501954	1,3509858661501954	1,206115804472734E-07	0,0002347508364686583	12	P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme	PPBT_HUMAN	21	155,08637928349725	2,5508637928349724	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9BRX8;Q9BRX8-2	Q9BRX8;Q9BRX8-2	1,9858353384749488	1,9858353384749488	8,19050679171052E-07	0,0006488866956438783	12	Q9BRX8;Q9BRX8-2	PRXL2A	Peroxiredoxin-like 2A;Isoform 2 of Peroxiredoxin-like 2A	PXL2A_HUMAN	15	296,09193836981893	3,9609193836981893	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P31327;P31327-3	P31327;P31327-3	-1,1090381215446308	1,1090381215446308	8,776942303855624E-07	0,0006491259179064438	12	P31327;P31327-3	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial;Isoform 3 of Carbamoyl-phosphate synthase [ammonia], mitochondrial	CPSM_HUMAN	34	-53,63969771167654	0,4636030228832346	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q14195	Q14195	-0,8083679930299195	0,8083679930299195	1,0694977668006135E-06	0,0007169474260316728	12	Q14195	DPYSL3	Dihydropyrimidinase-related protein 3	DPYL3_HUMAN	26	-42,89725490276164	0,5710274509723836	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	O60504	O60504	1,6268395191285052	1,6268395191285052	3,4462102999577036E-06	0,0012175367848931648	12	O60504	SORBS3	Vinexin	VINEX_HUMAN	9	208,8356974115813	3,088356974115813	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9Y4G6	Q9Y4G6	-0,5868348803462209	0,5868348803462209	3,5350083414622806E-06	0,0012322567743891983	12	Q9Y4G6	TLN2	Talin-2	TLN2_HUMAN	75	-33,4197995223249	0,665802004776751	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9Y5V3;Q9Y5V3-2	Q9Y5V3;Q9Y5V3-2	-1,459811727006656	1,459811727006656	3,6568489193291256E-06	0,0012416189369732554	12	Q9Y5V3;Q9Y5V3-2	MAGED1	Melanoma-associated antigen D1;Isoform 2 of Melanoma-associated antigen D1	MAGD1_HUMAN	4	-63,64594313960292	0,3635405686039707	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q16678	Q16678	1,050161130704214	1,050161130704214	5,074415185580707E-06	0,0016304297096627557	12	Q16678	CYP1B1	Cytochrome P450 1B1	CP1B1_HUMAN	11	107,07611124716254	2,0707611124716254	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9H4G0-2	Q9H4G0-2	1,9841799349281384	1,9841799349281384	6,515876764427751E-06	0,0018536802496302203	11	Q9H4G0-2	EPB41L1	Isoform 2 of Band 4.1-like protein 1	E41L1_HUMAN	1	295,6377079594749	3,956377079594749	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q15847	Q15847	0,8649510634953427	0,8649510634953427	7,732732798457724E-06	0,002038224721284396	12	Q15847	ADIRF	Adipogenesis regulatory factor	ADIRF_HUMAN	3	82,12778880255462	1,8212778880255462	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P37840;P37840-2	P37840;P37840-2	-4,9139494064370455	4,9139494064370455	9,562459355648247E-06	0,002186213136017065	12	P37840;P37840-2	SNCA	Alpha-synuclein;Isoform 2-4 of Alpha-synuclein	SYUA_HUMAN	8	-96,68293614867082	0,03317063851329183	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q13642	Q13642	1,4341411668995827	1,4341411668995827	9,75047269790671E-06	0,002197554812190284	12	Q13642	FHL1	Four and a half LIM domains protein 1	FHL1_HUMAN	21	170,22125661176366	2,7022125661176366	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P02649	P02649	0,9996572854067532	0,9996572854067532	1,0127968168173741E-05	0,002227904264301174	12	P02649	APOE	Apolipoprotein E	APOE_HUMAN	11	99,95249531182286	1,9995249531182286	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9UK59	Q9UK59	-1,1505294660738707	1,1505294660738707	1,1622289887356925E-05	0,0024124923992218683	12	Q9UK59	DBR1	Lariat debranching enzyme	DBR1_HUMAN	5	-54,954011687243444	0,4504598831275656	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9H479	Q9H479	-0,7849395625505472	0,7849395625505472	1,2179420526405719E-05	0,002430677635437795	12	Q9H479	FN3K	Fructosamine-3-kinase	FN3K_HUMAN	4	-41,96237301670236	0,5803762698329764	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P98095;P98095-2	P98095;P98095-2	2,3785015755668515	2,3785015755668515	1,2422291494174632E-05	0,0024358022531081555	10	P98095;P98095-2	FBLN2	Fibulin-2;Isoform 2 of Fibulin-2	FBLN2_HUMAN	11	419,9963784591791	5,199963784591791	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q15672;Q8WVJ9	Q15672;Q8WVJ9	-1,5355779900677082	1,5355779900677082	1,3772700910109977E-05	0,002570049447935527	12	Q15672;Q8WVJ9	TWIST1;TWIST2	Twist-related protein 1;Twist-related protein 2	TWST1_HUMAN;TWST2_HUMAN	3	-65,50588838504683	0,34494111614953166	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P21397	P21397	1,1790772015493947	1,1790772015493947	1,536204382231303E-05	0,0025911307980035604	12	P21397	MAOA	Amine oxidase [flavin-containing] A	AOFA_HUMAN	16	126,43189692982983	2,2643189692982983	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P05783	P05783	1,6998366893095707	1,6998366893095707	1,6079528322550272E-05	0,0026451451941038326	12	P05783	KRT18	Keratin, type I cytoskeletal 18	K1C18_HUMAN	24	224,8641823733597	3,248641823733597	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P09972	P09972	-1,054301441405419	1,054301441405419	1,6552932748477794E-05	0,002703940505186677	12	P09972	ALDOC	Fructose-bisphosphate aldolase C	ALDOC_HUMAN	9	-51,84696760176235	0,4815303239823765	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96M96	Q96M96	0,7104082432075891	0,7104082432075891	1,6651408404798614E-05	0,002703940505186677	12	Q96M96	FGD4	FYVE, RhoGEF and PH domain-containing protein 4	FGD4_HUMAN	21	63,62670704044695	1,6362670704044695	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q05193;Q05193-3	Q05193;Q05193-3	-1,6428131160857173	1,6428131160857173	1,803509862473985E-05	0,00277358599085411	12	Q05193;Q05193-3	DNM1	Dynamin-1;Isoform 3 of Dynamin-1	DYN1_HUMAN	15	-67,97685551946412	0,3202314448053587	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q68BL7	Q68BL7	0,8637724555907773	0,8637724555907773	1,8018831150751118E-05	0,00277358599085411	12	Q68BL7	OLFML2A	Olfactomedin-like protein 2A	OLM2A_HUMAN	11	81,97906049384873	1,8197906049384873	TLR10_WO	WT_WO	NaN	NaN	NaN
