PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] ADIPO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	8	8	12	True	14,400351920961963	14,512716233881957	14,185823666186401	14,603069837979296	14,916344008965243	14,092033165586102	13,742575684431804	13,603574620166185	12,793721075091499	14,138679436988943	13,677420287696354	13,491563463761887	21624,091796875	23375,607421875	18636,24609375	24886,3984375	30921,95703125	17463,234375	13706,529296875	12447,5537109375	7100,57958984375	18037,095703125	13101,28125	11517,6875
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	24	25	27	True	16,13014428478909	16,977601096741562	17,38330218837732	16,309367408408487	16,305944416946723	16,768159483325853	14,871558050099116	15,90583850377385	16,666625586616377	14,893446800601103	15,357511466479334	15,493614101853884	71722,8046875	129052,7265625	170960,34375	81209,8671875	81017,4140625	111614,078125	29976,78515625	61395,2109375	104028,953125	30435,064453125	41982,8203125	46136,28125
A1L4K1;A1L4K1-2	FSD2	Homo sapiens	Fibronectin type III and SPRY domain-containing protein 2;Isoform 2 of Fibronectin type III and SPRY domain-containing protein 2	FSD2_HUMAN	1	1	1	False	12,902574213885693	12,588708803348425	12,752648921721658	12,72612095235658	12,680336449776236	11,556600187549584	13,32534031982784	NaN	12,386293793050177	12,727447600018518	12,647065308910133	13,036846699782966	7657,056640625	6159,97509765625	6901,283203125	6775,54345703125	6563,89501953125	3012,196533203125	10264,248046875	NaN	5353,6005859375	6781,77685546875	6414,251953125	8403,919921875
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	14	14	14	False	14,329493484407921	14,13719520408758	14,22560153458841	14,047196817911475	14,273209252067433	13,946933484747673	14,118110486591721	14,134245654905374	14,170507943058281	14,15941359307861	13,925920014696738	13,986184043540739	20587,677734375	18018,548828125	19157,232421875	16928,85546875	19799,951171875	15792,2978515625	17781,759765625	17981,748046875	18439,44921875	18298,193359375	15563,943359375	16227,84765625
A2A288;A2A288-3;A2A288-4	ZC3H12D	Homo sapiens	Probable ribonuclease ZC3H12D;Isoform 2 of Probable ribonuclease ZC3H12D;Isoform 3 of Probable ribonuclease ZC3H12D	ZC12D_HUMAN	1	1	1	True	8,595212400167542	10,850141044442006	10,373794983635818	9,861179976305376	10,432414718216634	10,356080492348022	9,243169914913942	10,175371830530219	NaN	9,436974539942783	9,902819370175507	9,553377116705148	386,7379150390625	1845,94140625	1326,85498046875	930,0599975585938	1381,878173828125	1310,6624755859375	605,998291015625	1156,3575439453125	NaN	693,1263427734375	957,2947387695312	751,36865234375
A2RUC4	TYW5	Homo sapiens	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	1	1	1	False	12,81280648323519	NaN	13,244115981868992	12,594925827873215	12,894397590423642	13,021394645168998	12,698553979747425	13,359158652480584	NaN	12,201535423915121	13,154426905917564	NaN	7195,13720703125	NaN	9702,3330078125	6186,57763671875	7613,7822265625	8314,3896484375	6647,3056640625	10507,6953125	NaN	4710,07861328125	9117,52734375	NaN
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	12,086461838299032	11,126602237072195	11,641198771965586	10,543800858142701	NaN	12,067622111920508	12,413290646248894	11,51172068819946	12,660793066199782	12,26524217680015	11,620915930726374	12,699575524358446	4348,9814453125	2235,841552734375	3194,111083984375	1492,7955322265625	NaN	4292,55859375	5454,724609375	2919,935302734375	6475,5771484375	4922,7275390625	3149,519287109375	6652,01416015625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	2	2	3	False	12,477838168383883	12,375424223325538	11,46466003673775	12,336964673323694	11,751781747463795	12,207549405336895	12,500138968958735	11,803817573955056	12,975608266787711	12,323690734161316	13,134725551240116	13,384227123848701	5704,31591796875	5313,4169921875	2826,223876953125	5173,642578125	3448,568115234375	4729,75390625	5793,1767578125	3575,22314453125	8054,66162109375	5126,25927734375	8993,865234375	10691,8740234375
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	7	7	7	False	14,008553090730963	14,042794899527724	13,754892190275521	13,982482120485136	14,251693900764547	13,75187754717536	14,271476848786996	13,73281840003545	12,919477763841071	14,054314663309125	14,288046527630764	13,702819264592115	16481,421875	16877,28125	13824,044921875	16186,2607421875	19506,859375	13795,1884765625	19776,189453125	13614,1416015625	7747,29931640625	17012,583984375	20004,6328125	13333,974609375
A6NFA1	TRABD2B	Homo sapiens	Metalloprotease TIKI2	TIKI2_HUMAN	1	1	1	False	NaN	7,839255505131843	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6,347988950161457	NaN	NaN	NaN	229,00820922851562	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81,458251953125	NaN	NaN
