PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.Log2Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.Log2Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.Log2Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.Log2Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.Log2Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.Log2Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.Log2Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.Log2Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.Log2Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.Log2Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.Log2Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.Log2Quantity	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS2Quantity
A0A0A0MS03	TRBV5-3	Homo sapiens	Probable non-functional T cell receptor beta variable 5-3	TVB53_HUMAN	1	1	1	False	NaN	14,04442280369482	14,78139203339317	14,812466712381825	14,169308483909887	NaN	14,080743699268297	14,165661334137319	14,336088492815342	13,336233719782145	14,221525466615727	14,158999450864712	NaN	16896,3359375	28160,630859375	28773,771484375	18424,125	NaN	17327,11328125	18377,607421875	20682,005859375	10342,0439453125	19103,18359375	18292,94140625
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	10	11	16	False	18,766979425685918	18,743014527158223	18,664546349935353	18,753606873446845	18,67373596917444	18,638680171686275	19,16216802336873	18,78675748817419	18,81012717230666	18,65440844381739	18,738011729215383	18,661070221897862	446091,28125	438742,375	415516,53125	441975,5	418171,71875	408133,09375	586661,1875	452248,90625	459634,375	412606,90625	437223,59375	414516,5625
A0A0B4J2F0	PIGBOS1	Homo sapiens	Protein PIGBOS1	PIOS1_HUMAN	1	2	2	True	13,848082283860188	14,418816808036285	14,818439995102793	15,642239362654395	15,103309902072265	15,562954376811607	15,222836756074063	15,123865960953484	15,634427765670114	15,13888344651102	14,998986494288864	15,271873893274071	14746,47265625	21902,634765625	28893,15234375	51142,65234375	35200,5390625	48407,8828125	38241,109375	35705,6796875	50866,484375	36079,29296875	32744,98828125	39563,265625
A0A0U1RRL7	MMP24OS	Homo sapiens	Protein MMP24OS	MMPOS_HUMAN	2	2	2	False	13,335278168658032	13,778326630888628	13,751047207841333	13,602190830625352	13,275598677256234	13,542114268058748	13,552867119999421	13,273443335742636	13,250884320904797	13,206471285930979	12,907987565354647	13,356064771283231	10335,1962890625	14050,4296875	13787,2509765625	12435,6201171875	9916,3857421875	11928,4111328125	12017,6494140625	9901,58203125	9747,9580078125	9452,44140625	7685,841796875	10485,185546875
A0A1B0GUU1	C17orf113	Homo sapiens	Transmembrane protein C17orf113	CQ113_HUMAN	1	1	1	False	14,7420062232063	13,994525997302572	14,513588941629102	14,60167457053446	14,883342377004926	14,74516764887365	14,138176788150535	14,857437190256235	14,786640348898818	14,756294780210052	14,677157549130575	14,697541998006274	27402,240234375	16321,9521484375	23389,751953125	24862,341796875	30222,646484375	27462,353515625	18030,8125	29684,80859375	28263,26171875	27674,982421875	26197,791015625	26570,578125
A0A5B6	TRBV28	Homo sapiens	T cell receptor beta variable 28	TVB28_HUMAN	1	1	1	True	16,168803850529528	14,61458101282808	16,176289435016486	16,78267253814468	16,786654007329695	16,554600443993575	16,646639457128973	16,77442614931214	16,33615538622679	16,50842431457278	14,940512637273049	14,629541946408619	73670,7265625	25085,759765625	74053,96875	112742,546875	113054,1171875	96256,7734375	102597,7421875	112099,953125	82731,859375	93224,6796875	31444,337890625	25347,255859375
A0AVF1;A0AVF1-2;A0AVF1-3	TTC26	Homo sapiens	Intraflagellar transport protein 56;Isoform 2 of Intraflagellar transport protein 56;Isoform 3 of Intraflagellar transport protein 56	IFT56_HUMAN	3	3	3	False	13,849467239318312	13,597145872546605	13,81302087956728	13,248236252626203	13,475752723812525	13,045550713202056	13,287040891090934	13,252487001539734	13,263934654719161	13,072844721894414	13,504106856282496	11,74629329508986	14760,6357421875	12392,2099609375	14392,4130859375	9730,08203125	11392,15234375	8454,775390625	9995,3466796875	9758,79296875	9836,5361328125	8616,251953125	11618,263671875	3435,4736328125
A0AVT1	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	37	39	41	False	17,22274273203109	17,25937074101742	17,17240171757472	17,197012816857974	17,221511158820487	17,228949006183647	17,18120428504922	17,36067832990314	17,25171426805571	17,27770228513115	17,405512337902493	17,231233780889244	152954,46875	156887,484375	147709,359375	150250,765625	152823,953125	153613,875	148613,359375	168300,3125	156057,078125	158893,6875	173612,625	153857,34375
A0FGR8-2	ESYT2	Homo sapiens	Isoform 2 of Extended synaptotagmin-2	ESYT2_HUMAN	34	35	37	False	17,267825102813163	17,364942291178586	17,53930118352639	17,413368775807754	17,238522675878368	17,059090588872394	17,547407866414346	17,250557788482027	17,141503792601526	17,480121468088683	17,433660824039173	17,386494047940495	157809,5625	168798,46875	190482,796875	174560,640625	154636,640625	136551,96875	191556,15625	155932,03125	144579,53125	182827,234375	177033,25	171339
A0JLT2;A0JLT2-2	MED19	Homo sapiens	Mediator of RNA polymerase II transcription subunit 19;Isoform 2 of Mediator of RNA polymerase II transcription subunit 19	MED19_HUMAN	3	3	3	False	17,043066511407297	17,043268309126734	17,05190375335944	16,97709157109331	17,050745435952596	16,887475552954278	17,147907796934664	17,231158910773626	17,049636204692458	16,865725814932965	16,921738807679365	17,139148334662764	135043,671875	135062,5625	135873,421875	129007,15625	135764,375	121237,421875	145222,734375	153849,359375	135660,03125	119423,3828125	124151,2109375	144343,671875
A0JNW5	UHRF1BP1L	Homo sapiens	UHRF1-binding protein 1-like	UH1BL_HUMAN	6	6	6	False	12,434121567261359	11,697863818598517	12,03809043065114	11,846191832653798	12,636582694193946	11,658953221792586	NaN	11,488432751098696	11,524987959323955	11,37665561023414	11,507091842429768	11,786139184499735	5534,05615234375	3322,063232421875	4205,583984375	3681,79052734375	6367,81494140625	3233,662109375	NaN	2873,18017578125	2946,911376953125	2658,97705078125	2910,581787109375	3531,6806640625
A0PJW6	TMEM223	Homo sapiens	Transmembrane protein 223	TM223_HUMAN	3	3	3	False	14,327557852000954	14,520677542612885	14,455765171587249	13,865879078227414	14,13302647369495	13,773455264809279	14,382357264165096	13,881252619811223	13,83309922644967	13,598799922868308	13,823114909940882	13,58147414760392	20560,07421875	23504,958984375	22470,8203125	14929,5087890625	17966,55859375	14003,0673828125	21356,05078125	15089,4501953125	14594,1162109375	12406,42578125	14493,46484375	12258,32421875
A1A4S6	ARHGAP10	Homo sapiens	Rho GTPase-activating protein 10	RHG10_HUMAN	14	14	14	False	15,79477528081068	15,882323067849622	15,923996494758107	15,732078384231576	15,706923846631	15,780444650793163	15,740700518151739	15,792641972871829	15,741802914592865	15,629324377315275	15,700655712180923	15,639053603842052	56846,16015625	60402,6015625	62172,82421875	54428,640625	53487,859375	56284,2890625	54754,90234375	56762,1640625	54796,7578125	50686,8671875	53255,97265625	51029,84375
A1KXE4	FAM168B	Homo sapiens	Myelin-associated neurite-outgrowth inhibitor	F168B_HUMAN	1	1	1	False	11,753087874809959	12,428109149052355	NaN	11,761011134367497	12,479237278630707	12,561432112918304	NaN	12,242812563491933	12,23273241688786	11,427130455559	12,132233617819814	12,031741749165043	3451,691650390625	5511,041015625	NaN	3470,700439453125	5709,8505859375	6044,60400390625	NaN	4846,78564453125	4813,0390625	2753,65185546875	4489,171875	4187,11767578125
A1L0T0	ILVBL	Homo sapiens	2-hydroxyacyl-CoA lyase 2	HACL2_HUMAN	18	18	19	False	17,870004834076422	17,92380232451714	17,984113232520848	18,019682852446678	17,657951217173018	17,87202655503031	17,942145772161673	17,642036153705952	17,678218211933963	17,789039556240876	17,670266809269183	17,76421659539547	239556,234375	248657,828125	259273,140625	265744,96875	206810,6875	239892,171875	251839,625	204541,796875	209736,46875	226482,421875	208583,6875	222618,90625
A1L188	NDUFAF8	Homo sapiens	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	NDUF8_HUMAN	1	1	1	False	16,08374322507564	16,226719985354872	15,849933716605562	15,984225298318389	15,870115584878548	15,863321963143179	15,93408819874054	15,957128351553589	15,884384817233675	15,811667690801173	15,696376905616546	15,83505201960809	69452,703125	76688,359375	59061,63671875	64823,3203125	59893,65625	59612,28125	62609,25	63617,16015625	60488,984375	57515,6796875	53098,2578125	58455,53515625
A1L4H1;A1L4H1-2	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D;Isoform 2 of Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	1	1	1	True	12,792634228763895	11,178792179620844	12,554061829859252	12,825104456136367	12,147417980851223	12,70089294029378	12,24589241104332	NaN	11,919285621681144	11,014587181876456	11,157059763826934	12,189954675557058	7095,232421875	2318,20458984375	6013,802734375	7256,73291015625	4536,669921875	6658,09130859375	4857,1435546875	NaN	3873,1337890625	2068,8125	2283,54541015625	4672,42138671875
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	37	37	41	False	17,598871237198956	17,459820809780425	17,481067095233797	17,64729998442051	17,604755227062178	17,523515056373565	17,45504759939603	17,49564219099513	17,063195421011176	17,63933894202811	17,48232938917651	17,46828794020364	198512,625	180272,625	182947,109375	205289,453125	199323,90625	188409,875	179677,171875	184804,734375	136941,046875	204159,75	183107,25	181333,75
A1XBS5;A1XBS5-2	FAM92A	Homo sapiens	Protein FAM92A;Isoform 2 of Protein FAM92A	FA92A_HUMAN	3	3	3	False	13,50440683324096	13,172990524218516	13,109640984635908	13,291528497453603	12,804120777598637	NaN	13,333490466910067	13,25560938607486	13,442097488564844	12,913862364176818	NaN	12,997739581956496	11620,6796875	9235,603515625	8838,837890625	10026,486328125	7151,94921875	NaN	10322,3974609375	9779,9365234375	11129,4716796875	7717,203125	NaN	8179,1748046875
A2RRD8	ZNF320	Homo sapiens	Zinc finger protein 320	ZN320_HUMAN	5	5	5	False	14,290695980954634	14,327926059088995	14,496436658808838	14,17952645497523	14,149433621630326	14,117406418987228	14,047957448367443	13,960429148307032	13,636124633066842	14,026316586811411	13,969407074709526	13,943501208436805	20041,404296875	20565,322265625	23113,31640625	18555,078125	18172,05078125	17773,083984375	16937,783203125	15940,7197265625	12731,5869140625	16685,607421875	16040,228515625	15754,771484375
A2RRP1	NBAS	Homo sapiens	Neuroblastoma-amplified sequence	NBAS_HUMAN	52	55	59	False	18,861630378271688	18,87248814437472	18,876043900629476	18,880084852226997	18,770105514422333	18,818171877859534	18,84536475838604	18,735857703801386	18,90037625021667	18,728393880808664	18,62684497537645	18,70209075901077	476339,40625	479937,875	481122,21875	482471,71875	447058,9375	462204,53125	470999,09375	436571,28125	489305,59375	434318,5	404798,65625	426471,78125
A2RTX5;A2RTX5-2	TARS3	Homo sapiens	Threonine--tRNA ligase 2, cytoplasmic;Isoform 2 of Threonine--tRNA ligase 2, cytoplasmic	SYTC2_HUMAN	5	5	5	False	10,914065360832774	10,133926105516263	10,982997229151069	9,900321149930123	10,74203820288412	10,73172392414807	10,47016620254793	11,091746733699033	9,790722048697594	10,40286816269552	10,180342772186762	9,928016703687401	1929,572265625	1123,6103515625	2024,005126953125	955,6384887695312	1712,677978515625	1700,4771728515625	1418,5155029296875	2182,470947265625	885,7293090820312	1353,864990234375	1160,3487548828125	974,1611938476562
A2RU67	FAM234B	Homo sapiens	Protein FAM234B	F234B_HUMAN	1	1	1	False	NaN	NaN	NaN	NaN	NaN	12,98380855038422	NaN	NaN	12,8965569131295	NaN	NaN	13,40896820964909	NaN	NaN	NaN	NaN	NaN	8100,57470703125	NaN	NaN	7625,1865234375	NaN	NaN	10876,8125
A2RUC4	TYW5	Homo sapiens	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	2	2	2	False	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN
