PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	3	3	3	False	10,798846518177237	10,40731859929308	10,497020859153078	10,912672744575053	10,431000813908287	10,446625847412	10,345344601795952	1,2951192678414643	10,589009761572575	10,727066025424708	10,957576522143741	8,36930326679336	1781,462646484375	1358,0478515625	1445,1673583984375	1927,7105712890625	1380,5245361328125	1395,5574951171875	1300,9453125	2,453972816467285	1540,3150634765625	1694,995849609375	1988,6539306640625	330,6825866699219
A0AVT1;A0AVT1-2	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6;Isoform 2 of Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	1	1	1	False	9,63158762504996	9,03817719373442	9,582843609729213	10,05982385654664	9,603366796725604	9,512572177912093	9,759508084425201	NaN	9,6560423674896	10,135187279213744	9,119278841750846	9,790810724492665	793,2257080078125	525,7296142578125	766,8728637695312	1067,3546142578125	777,8600463867188	730,414794921875	866,7716064453125	NaN	806,7860717773438	1124,593017578125	556,1301879882812	885,7837524414062
A0FGR8;A0FGR8-2;A0FGR8-5;A0FGR8-6	ESYT2	Homo sapiens	Extended synaptotagmin-2;Isoform 2 of Extended synaptotagmin-2;Isoform 5 of Extended synaptotagmin-2;Isoform 6 of Extended synaptotagmin-2	ESYT2_HUMAN	1	1	1	False	8,014981602963353	NaN	NaN	6,92792459261843	8,321214396762107	10,227295560535483	7,50312925526481	9,805668211636785	NaN	9,84984984197987	9,070141749907993	NaN	258,6722717285156	NaN	NaN	121,76237487792969	319,84173583984375	1198,7337646484375	181,4123992919922	894,9530639648438	NaN	922,784423828125	537,5077514648438	NaN
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	21	21	22	False	14,363324427352685	15,382744858199937	14,435142596680953	13,99944292664659	15,342519352424219	14,881230117786588	14,61352544354402	15,450634109651482	15,411100393617094	14,081058012676266	14,970119937222522	14,898457835199466	21076,16015625	42723,578125	22151,896484375	16377,6748046875	41548,8046875	30178,4296875	25067,412109375	44782,0859375	43571,59765625	17330,888671875	32096,3125	30540,9609375
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	9	9	9	False	12,383729865140737	12,331985586160192	12,78384113285066	12,520507663298453	12,29612321294044	12,171666249136225	12,24706292393344	12,592352097301486	12,342988984598374	12,18938089793815	12,488379669057377	12,402912779312995	5344,0947265625	5155,81787109375	7052,119140625	5875,5478515625	5029,23486328125	4613,56494140625	4861,0859375	6175,55078125	5195,29150390625	4670,5634765625	5746,14892578125	5415,62744140625
A4D0V7	CPED1	Homo sapiens	Cadherin-like and PC-esterase domain-containing protein 1	CPED1_HUMAN	1	1	1	False	10,944943550140572	10,968555621523432	10,26659183426174	10,776355919403235	10,61415973171001	11,121243870717139	NaN	10,81768545290363	11,047387054731349	10,057999652654132	10,804432583365141	10,351074022285012	1971,3162841796875	2003,8455810546875	1231,833740234375	1753,90625	1567,4022216796875	2227,552734375	NaN	1804,8778076171875	2116,385986328125	1066,005859375	1788,373779296875	1306,1220703125
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	12,421913678271876	11,570279021788254	13,179144174124342	12,65633058557374	12,107754247504115	13,31455074614209	12,321315156118649	12,79933301079854	12,064125342436688	12,806571549559296	12,13451186589462	12,941538141326767	5487,42529296875	3040,892333984375	9275,0810546875	6455,578125	4413,64306640625	10187,7705078125	5117,8251953125	7128,25390625	4282,1669921875	7164,10888671875	4496,2666015625	7866,67431640625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	MP3B2_HUMAN;MLP3B_HUMAN	2	2	2	True	9,852074446517507	11,506098461527737	10,817981854095917	12,182852743103915	11,81769364914695	9,243693211790243	11,218071699229496	1,017620104206911	10,918336629793233	9,575708653548649	10,409135812726904	8,310500038970412	924,2084350585938	2908,578369140625	1805,2486572265625	4649,47705078125	3609,776123046875	606,2181396484375	2382,188232421875	2,024576425552368	1935,29345703125	763,089599609375	1359,759521484375	317,4751892089844
A6NDG6	PGP	Homo sapiens	Glycerol-3-phosphate phosphatase	PGP_HUMAN	6	6	6	False	12,17400477086748	11,857941616493541	10,929067384121225	11,904342177383924	11,54622517995454	11,721055682146108	11,722919132806219	9,775042859152228	11,876250321010085	12,480044281894793	12,072322689268383	11,511100415990917	4621,04931640625	3711,898681640625	1949,7418212890625	3833,222900390625	2990,6123046875	3375,898193359375	3380,261474609375	876,1553344726562	3759,30517578125	5713,04541015625	4306,5673828125	2918,68017578125
A6NFN3;A6NFN3-2;O43251;O43251-10;O43251-2;O43251-4;O43251-5;O43251-6;O43251-7;O43251-8;O43251-9;Q9NWB1;Q9NWB1-2;Q9NWB1-3;Q9NWB1-4;Q9NWB1-5	RBFOX3;RBFOX3;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX2;RBFOX1;RBFOX1;RBFOX1;RBFOX1;RBFOX1	Homo sapiens	RNA binding protein fox-1 homolog 3;Isoform 2 of RNA binding protein fox-1 homolog 3;RNA binding protein fox-1 homolog 2;Isoform 10 of RNA binding protein fox-1 homolog 2;Isoform 2 of RNA binding protein fox-1 homolog 2;Isoform 4 of RNA binding protein fox-1 homolog 2;Isoform 5 of RNA binding protein fox-1 homolog 2;Isoform 6 of RNA binding protein fox-1 homolog 2;Isoform 7 of RNA binding protein fox-1 homolog 2;Isoform 8 of RNA binding protein fox-1 homolog 2;Isoform 9 of RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1;Isoform 2 of RNA binding protein fox-1 homolog 1;Isoform 3 of RNA binding protein fox-1 homolog 1;Isoform 4 of RNA binding protein fox-1 homolog 1;Isoform 5 of RNA binding protein fox-1 homolog 1	RFOX3_HUMAN;RFOX3_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX2_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN;RFOX1_HUMAN	1	1	1	False	10,75222188337431	7,685279314341092	8,904836899994118	8,772778387208145	8,6333702144005	11,526516193378162	10,366126878762504	11,942945499389458	9,041380255628908	10,3299428840496	9,079088399968706	1,6628041728233742	1724,8101806640625	205,82569885253906	479,31719970703125	437,3905944824219	397,10321044921875	2950,03466796875	1319,8212890625	3937,176025390625	526,8981323242188	1287,1307373046875	540,8513793945312	3,166313648223877
A6NGH7	CCDC160	Homo sapiens	Coiled-coil domain-containing protein 160	CC160_HUMAN	1	1	1	True	12,45484409061993	11,537885592625738	12,37623669619144	12,306059741920484	12,933282194260245	12,884888199431451	11,93338675175913	11,219492928679514	12,25306249194924	11,755625488395511	11,987245706902481	13,048926334295828	5614,11962890625	2973,374755859375	5316,41015625	5063,9931640625	7821,78515625	7563,76171875	3911,176025390625	2384,5361328125	4881,34326171875	3457,768310546875	4059,948486328125	8474,5810546875
