PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.Log2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.Log2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.Log2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.Log2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.Log2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.Log2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.Log2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.Log2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.Log2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.Log2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.Log2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.Log2Quantity	[1] OSTEO_ASC_WT_SN_WO_1.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_SN_WO_2.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_SN_WO_3.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_SN_Light_1.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_SN_Light_2.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_SN_Light_3.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_SN_WO_1.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_SN_WO_2.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_SN_WO_3.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_SN_Light_1.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_SN_Light_2.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_SN_Light_3.raw.PG.MS2Quantity
A0A075B6H7;A0A0C4DH55;P01624	IGKV3-7;IGKV3D-7;IGKV3-15	Homo sapiens	Probable non-functional immunoglobulin kappa variable 3-7;Immunoglobulin kappa variable 3D-7;Immunoglobulin kappa variable 3-15	KV37_HUMAN;KVD07_HUMAN;KV315_HUMAN	1	1	1	False	18,387400373367488	18,845685003286786	18,062308055265465	18,692408517417565	18,209962418826414	18,688914465386052	18,739110617402314	18,315637307912798	17,992060801866884	18,4817566965913	18,26521670482493	19,051274337578054	342893,34375	471103,65625	273713,6875	423619,21875	303210,96875	422594,5	437556,75	326254,28125	260705,375	366069,15625	315049	543256,625
A0A075B6I0	IGLV8-61	Homo sapiens	Immunoglobulin lambda variable 8-61	LV861_HUMAN	1	1	1	False	14,085005728041297	14,031714494017528	13,438198310062562	14,233527815673046	13,789187551825039	10,57942666407953	14,300982565001682	13,517947221524453	13,688238354934402	14,204530996526966	13,817341071031745	13,667380123088822	17378,376953125	16748,154296875	11099,4326171875	19262,7734375	14156,603515625	1530,117431640625	20184,8125	11730,2587890625	13199,890625	18879,474609375	14435,576171875	13010,421875
A0A075B6J2	IGLV2-33	Homo sapiens	Probable non-functional immunoglobulin lambda variable 2-33	LV233_HUMAN	1	1	1	False	13,366376380467752	14,30988333450704	13,01850617398077	12,699181738535733	13,879671115100763	14,241722960081661	13,715803356679592	13,665204696079954	13,93436531630292	13,833612811929122	NaN	NaN	10560,396484375	20309,728515625	8297,759765625	6650,19873046875	15072,91796875	19372,505859375	13454,5205078125	12990,818359375	15655,3193359375	14599,3125	NaN	NaN
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	4	4	4	False	12,234615145928535	12,84884372985808	12,416619087401758	12,487238361929142	12,325814067318486	11,863636073238064	12,10083859886389	12,115063817739212	12,309756104677485	12,054546689765425	12,006086165103312	12,445748914953022	4819,32421875	7377,12890625	5467,32373046875	5741,60498046875	5133,8095703125	3726,578857421875	4392,53662109375	4436,06201171875	5076,984375	4253,830078125	4113,31591796875	5578,837890625
A0A0C4DH25	IGKV3D-20	Homo sapiens	Immunoglobulin kappa variable 3D-20	KVD20_HUMAN	1	1	1	False	16,116887103527326	16,578752735330863	15,60611780470238	16,531886023290593	16,00319310528608	16,320891699227463	16,43949865796026	16,028271665730344	15,833477411441562	16,044035016587596	16,03852235193601	16,76494294398036	71066,75	97881,78125	49878,0625	94753,1328125	65681,2109375	81861,171875	88875,53125	66832,9375	58391,76953125	67567,1796875	67309,4921875	111365,5078125
A0A1B0GVG4	CCDC194	Homo sapiens	Coiled-coil domain-containing protein 194	CC194_HUMAN	1	1	1	False	11,05918847847341	10,07008801558277	10,65023180091422	10,674738063506421	10,640424566305757	10,315140162307355	10,524800895411646	9,891197136911519	NaN	10,524773640625627	9,685280063015412	NaN	2133,769287109375	1074,9754638671875	1607,08642578125	1634,6182861328125	1596,19873046875	1273,99169921875	1473,2646484375	949,6138305664062	NaN	1473,23681640625	823,30322265625	NaN
A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-6	ESYT2	Homo sapiens	Extended synaptotagmin-2;Isoform 2 of Extended synaptotagmin-2;Isoform 4 of Extended synaptotagmin-2;Isoform 6 of Extended synaptotagmin-2	ESYT2_HUMAN	1	1	1	False	11,239551478353077	11,714052622133382	10,760263612763946	11,925473671376636	11,406851549762479	11,63267887380928	11,634860338043206	12,127872187529851	11,480381848553135	11,788221574503025	12,148736146864149	NaN	2417,921142578125	3359,55078125	1734,4512939453125	3889,7822265625	2715,216552734375	3175,3037109375	3180,108642578125	4475,62109375	2857,191162109375	3536,781982421875	4540,81689453125	NaN
A1L4H1	SSC5D	Homo sapiens	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SRCRL_HUMAN	20	21	22	True	16,555184154732526	17,123598093820927	16,3960754388602	17,011268040065794	15,462881777053058	16,047224614357265	15,595184735956444	16,83690184912372	15,70013244503001	15,330935883674675	15,548057895651038	15,255560117265402	96295,7265625	142796,203125	86240,3515625	132099,734375	45163,87890625	67716,7265625	49501,50390625	117061,0703125	53236,66015625	41216,54296875	47910,62109375	39118,41015625
A1X283	SH3PXD2B	Homo sapiens	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	15	15	15	False	13,86502544743585	13,545013469343779	14,116144990549875	13,55284332122065	13,995197051699435	13,967172070053865	13,995471993741806	13,839298473079806	13,954530029085856	13,816290535265797	13,919300262850504	13,793663929613269	14920,677734375	11952,40625	17757,55078125	12017,451171875	16329,5458984375	16015,3984375	16332,658203125	14656,9619140625	15875,671875	14425,068359375	15492,6923828125	14200,5966796875
A5D8V6	VPS37C	Homo sapiens	Vacuolar protein sorting-associated protein 37C	VP37C_HUMAN	1	1	1	False	12,619881663179347	12,59277397806157	13,071826485070375	12,940373733280577	12,72177790894372	13,214319417282614	13,03421343253514	12,68870332160506	NaN	13,11259890398737	12,870724233180441	12,355843717660932	6294,5244140625	6177,35693359375	8610,1728515625	7860,32763671875	6755,17724609375	9504,001953125	8388,5947265625	6602,07275390625	NaN	8856,978515625	7489,8662109375	5241,78955078125
