PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.Log2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.Log2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.Log2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.Log2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.Log2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.Log2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.Log2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.Log2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.Log2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.Log2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.Log2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.Log2Quantity	[1] OSTEO_ASC_WT_WCL_WO_1_20240411145013.raw.PG.MS2Quantity	[2] OSTEO_ASC_WT_WCL_WO_2_20240411161114.raw.PG.MS2Quantity	[3] OSTEO_ASC_WT_WCL_WO_3_20240411173214.raw.PG.MS2Quantity	[4] OSTEO_ASC_WT_WCL_Light_1_20240411194918.raw.PG.MS2Quantity	[5] OSTEO_ASC_WT_WCL_Light_2_20240411211021.raw.PG.MS2Quantity	[6] OSTEO_ASC_WT_WCL_Light_3_20240411223121.raw.PG.MS2Quantity	[7] OSTEO_ASC_TLR10_LOV_WCL_WO_1_20240412004820.raw.PG.MS2Quantity	[8] OSTEO_ASC_TLR10_LOV_WCL_WO_2_20240412020921.raw.PG.MS2Quantity	[9] OSTEO_ASC_TLR10_LOV_WCL_WO_3_20240412033021.raw.PG.MS2Quantity	[10] OSTEO_ASC_TLR10_LOV_WCL_Light_1_20240412054721.raw.PG.MS2Quantity	[11] OSTEO_ASC_TLR10_LOV_WCL_Light_2_20240412070821.raw.PG.MS2Quantity	[12] OSTEO_ASC_TLR10_LOV_WCL_Light_3_20240412082921.raw.PG.MS2Quantity
A0A024RBG1;Q9NZJ9;Q9NZJ9-2	NUDT4B;NUDT4;NUDT4	Homo sapiens	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase 2;Isoform 2 of Diphosphoinositol polyphosphate phosphohydrolase 2	NUD4B_HUMAN;NUDT4_HUMAN;NUDT4_HUMAN	3	3	3	False	13,477708742309147	14,04297620237579	13,619854467993493	13,527816300513715	14,283656006029533	13,768834392631783	13,40721122111739	13,305517119476413	14,028602003881259	13,86070490451966	14,126933964975441	13,969297541208066	11407,6083984375	16879,40234375	12588,8115234375	11810,77734375	19943,845703125	13958,2880859375	10863,57421875	10124,177734375	16712,060546875	14876,060546875	17890,845703125	16039,0107421875
A0A0A0MS15	IGHV3-49	Homo sapiens	Immunoglobulin heavy variable 3-49	HV349_HUMAN	1	1	1	False	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	9	10	15	False	17,616802330508378	17,658920326644388	17,351607328736094	17,04226655393797	17,43619735094322	17,389024704630927	17,06856574942336	17,020870268401204	17,264450331874716	17,181346708291663	17,033431067632513	16,854052834675016	200995,3125	206949,65625	167245,4375	134968,8125	177344,78125	171639,8125	137451,75	132981,890625	157440,84375	148628,03125	134144,75	118461,015625
A0A0B4J2F0	PIGBOS1	Homo sapiens	Protein PIGBOS1	PIOS1_HUMAN	1	1	1	False	17,2626412859295	15,85573507590518	16,38277915354222	16,488537928681758	15,670648686082412	15,607283688940546	16,085458519417514	16,035178498198206	15,28301556084193	15,557203661394052	15,739146885717167	15,454594119473493	157243,546875	59299,61328125	85449,1875	91948,46875	52159,7265625	49918,38671875	69535,328125	67153,6640625	39869,98828125	48215,30859375	54695,96875	44905,17578125
A0A0U1RRL7	MMP24OS	Homo sapiens	Protein MMP24OS	MMPOS_HUMAN	2	2	2	False	13,900339670495347	13,202794620942496	13,82550444311831	13,569428709582096	12,720564081612972	13,500483902338782	13,687162712104731	13,704705771108564	13,305366679533915	13,053452808003769	13,33797680075694	13,451200545179564	15290,412109375	9428,3828125	14517,490234375	12156,40234375	6749,49609375	11589,1240234375	13190,052734375	13351,421875	10123,1220703125	8501,2119140625	10354,546875	11199,91796875
A0A1B0GTL2	C20orf204	Homo sapiens	Uncharacterized protein C20orf204	CT204_HUMAN	1	1	1	False	15,74774912691429	15,012441938673662	15,380897377278606	15,846983247862907	15,91053907329355	15,644997152944567	14,90549057395145	16,01659986418849	15,38038271834873	14,8724305594666	14,902863429497469	15,485135876895637	55023,07421875	33051,81640625	42668,90234375	58940,97265625	61595,57421875	51240,5078125	30690,203125	66294,421875	42653,68359375	29994,919921875	30634,3671875	45865,94921875
A0A1B0GUI7	BRD3OS	Homo sapiens	Putative uncharacterized protein BRD3OS	BRDOS_HUMAN	1	1	1	False	14,108056827468488	NaN	NaN	13,553458211954963	NaN	13,233087444849213	14,702082407546857	NaN	NaN	13,04061029634592	NaN	NaN	17658,275390625	NaN	NaN	12022,57421875	NaN	9628,447265625	26654,33203125	NaN	NaN	8425,8720703125	NaN	NaN
A0AVF1;A0AVF1-2;A0AVF1-3	TTC26	Homo sapiens	Intraflagellar transport protein 56;Isoform 2 of Intraflagellar transport protein 56;Isoform 3 of Intraflagellar transport protein 56	IFT56_HUMAN	2	2	2	False	12,18116424019954	11,827182286709265	13,386980754055235	12,90133786279064	12,870414861209364	12,602608485359317	NaN	NaN	12,229262273327457	10,941189222116524	12,727178648734625	11,94324909528829	4644,03857421875	3633,595947265625	10712,30078125	7650,49755859375	7488,26025390625	6219,6103515625	NaN	NaN	4801,47607421875	1966,1929931640625	6780,5126953125	3938,004638671875
A0AVI4	TMEM129	Homo sapiens	E3 ubiquitin-protein ligase TM129	TM129_HUMAN	2	2	2	False	14,438665093317889	NaN	13,551014448108436	14,61622328354512	NaN	NaN	14,122811094444025	13,813515338108406	NaN	NaN	13,811693851879491	NaN	22206,048828125	NaN	12002,2265625	25114,33203125	NaN	NaN	17839,791015625	14397,3466796875	NaN	NaN	14379,1806640625	NaN
A0AVT1	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	38	38	40	False	16,804396245606405	17,033813987211996	16,958504306428768	16,648776564768646	17,06833038998602	16,93549339756081	16,953163334640532	16,901186202692795	17,166028043152615	16,810148457058432	17,052048913124338	17,014806961093132	114453,0390625	134180,359375	127355,7265625	102749,8359375	137429,328125	125340,5234375	126885,1171875	122395,09375	147058,234375	114910,2890625	135887,09375	132424,171875
