PG.ProteinGroups	PG.Genes	PG.Organisms	PG.ProteinDescriptions	PG.ProteinNames	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfModifiedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	PG.IsCandidate	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.MS1Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.MS1Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.MS1Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.MS1Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.MS1Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.MS1Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS1Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS1Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS1Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS1Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS1Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS1Quantity	[1] ADIPO_ASC_WT_WCL_WO_1.raw.PG.MS2Quantity	[2] ADIPO_ASC_WT_WCL_WO_2.raw.PG.MS2Quantity	[3] ADIPO_ASC_WT_WCL_WO_3.raw.PG.MS2Quantity	[4] ADIPO_ASC_WT_WCL_Light_1.raw.PG.MS2Quantity	[5] ADIPO_ASC_WT_WCL_Light_2.raw.PG.MS2Quantity	[6] ADIPO_ASC_WT_WCL_Light_3.raw.PG.MS2Quantity	[7] ADIPO_ASC_TLR10_LOV_WCL_WO_1.raw.PG.MS2Quantity	[8] ADIPO_ASC_TLR10_LOV_WCL_WO_2.raw.PG.MS2Quantity	[9] ADIPO_ASC_TLR10_LOV_WCL_WO_3.raw.PG.MS2Quantity	[10] ADIPO_ASC_TLR10_LOV_WCL_Light_1.raw.PG.MS2Quantity	[11] ADIPO_ASC_TLR10_LOV_WCL_Light_2.raw.PG.MS2Quantity	[12] ADIPO_ASC_TLR10_LOV_WCL_Light_3.raw.PG.MS2Quantity
A0A0A0MS03	TRBV5-3	Homo sapiens	Probable non-functional T cell receptor beta variable 5-3	TVB53_HUMAN	1	1	1	False	NaN	35944,48046875	NaN	27030,966796875	NaN	NaN	49063,24609375	31491,015625	64813,8515625	83871,515625	157677,8125	11204,1279296875	NaN	16896,3359375	28160,630859375	28773,771484375	18424,125	NaN	17327,11328125	18377,607421875	20682,005859375	10342,0439453125	19103,18359375	18292,94140625
A0A0B4J2D5;P0DPI2	GATD3B;GATD3A	Homo sapiens	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial	GAL3B_HUMAN;GAL3A_HUMAN	10	11	16	False	5000977,5	4796899,5	4689780,5	4585179,5	4770483	4719328	6804289	5160980	5066623	4955335,5	5124883,5	4690910	446091,28125	438742,375	415516,53125	441975,5	418171,71875	408133,09375	586661,1875	452248,90625	459634,375	412606,90625	437223,59375	414516,5625
A0A0B4J2F0	PIGBOS1	Homo sapiens	Protein PIGBOS1	PIOS1_HUMAN	1	2	2	True	309687,84375	146834,8125	349867,65625	581296,4375	272140,96875	300600,65625	369014,96875	321217,53125	380321,90625	311846,9375	753660,1875	391029,5	14746,47265625	21902,634765625	28893,15234375	51142,65234375	35200,5390625	48407,8828125	38241,109375	35705,6796875	50866,484375	36079,29296875	32744,98828125	39563,265625
A0A0U1RRL7	MMP24OS	Homo sapiens	Protein MMP24OS	MMPOS_HUMAN	2	2	2	False	57682,16015625	139768,734375	109629,8359375	69225,5234375	81015,140625	61329,359375	29616,109375	18203,517578125	97224,7578125	52859,9609375	57348,80078125	35641,21875	10335,1962890625	14050,4296875	13787,2509765625	12435,6201171875	9916,3857421875	11928,4111328125	12017,6494140625	9901,58203125	9747,9580078125	9452,44140625	7685,841796875	10485,185546875
A0A1B0GUU1	C17orf113	Homo sapiens	Transmembrane protein C17orf113	CQ113_HUMAN	1	1	1	False	186503,9375	230300,78125	179718,5	186615,859375	92464,40625	152058,609375	247604,015625	150216,265625	100699,34375	132755,078125	167794,53125	129496,1953125	27402,240234375	16321,9521484375	23389,751953125	24862,341796875	30222,646484375	27462,353515625	18030,8125	29684,80859375	28263,26171875	27674,982421875	26197,791015625	26570,578125
A0A5B6	TRBV28	Homo sapiens	T cell receptor beta variable 28	TVB28_HUMAN	1	1	1	True	153126,71875	194373,296875	306124,46875	370581,15625	335265,4375	273330,21875	208520,140625	298074,5	196879,3125	296315,90625	214049,03125	232244,078125	73670,7265625	25085,759765625	74053,96875	112742,546875	113054,1171875	96256,7734375	102597,7421875	112099,953125	82731,859375	93224,6796875	31444,337890625	25347,255859375
A0AVF1;A0AVF1-2;A0AVF1-3	TTC26	Homo sapiens	Intraflagellar transport protein 56;Isoform 2 of Intraflagellar transport protein 56;Isoform 3 of Intraflagellar transport protein 56	IFT56_HUMAN	3	3	3	False	699183,875	24561,2734375	24595,5234375	NaN	12933,5703125	22579,412109375	26971,62109375	33526,7734375	18906,65234375	439520,8125	859054,875	113890,59375	14760,6357421875	12392,2099609375	14392,4130859375	9730,08203125	11392,15234375	8454,775390625	9995,3466796875	9758,79296875	9836,5361328125	8616,251953125	11618,263671875	3435,4736328125
A0AVT1	UBA6	Homo sapiens	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	37	39	41	False	442536,40625	482883,8125	456421,3125	443810,15625	486036,6875	471721,5	475014,21875	530740,1875	454621,1875	482336,875	518615,59375	487617,65625	152954,46875	156887,484375	147709,359375	150250,765625	152823,953125	153613,875	148613,359375	168300,3125	156057,078125	158893,6875	173612,625	153857,34375
A0FGR8-2	ESYT2	Homo sapiens	Isoform 2 of Extended synaptotagmin-2	ESYT2_HUMAN	34	35	37	False	386302,71875	373616,8125	454790,84375	427717,71875	330540,8125	314750,03125	432184,25	397872,125	376016,875	411026,84375	420850,46875	407333,6875	157809,5625	168798,46875	190482,796875	174560,640625	154636,640625	136551,96875	191556,15625	155932,03125	144579,53125	182827,234375	177033,25	171339
A0JLT2;A0JLT2-2	MED19	Homo sapiens	Mediator of RNA polymerase II transcription subunit 19;Isoform 2 of Mediator of RNA polymerase II transcription subunit 19	MED19_HUMAN	3	3	3	False	46983,4609375	71090,3984375	104162,375	119486,3671875	52908,83203125	119810,8671875	61493,94921875	80726,0625	52726,6875	33042,96875	32107,041015625	68928,6796875	135043,671875	135062,5625	135873,421875	129007,15625	135764,375	121237,421875	145222,734375	153849,359375	135660,03125	119423,3828125	124151,2109375	144343,671875
A0JNW5	UHRF1BP1L	Homo sapiens	UHRF1-binding protein 1-like	UH1BL_HUMAN	6	6	6	False	113575,578125	110510,7734375	115737,28125	99961,515625	106075,34375	131010	NaN	143898,125	97433,2578125	91883,484375	91203,15625	66622,3203125	5534,05615234375	3322,063232421875	4205,583984375	3681,79052734375	6367,81494140625	3233,662109375	NaN	2873,18017578125	2946,911376953125	2658,97705078125	2910,581787109375	3531,6806640625
A0PJW6	TMEM223	Homo sapiens	Transmembrane protein 223	TM223_HUMAN	3	3	3	False	48950,99609375	74509,3359375	156090,84375	46113,8984375	31825,904296875	34667,20703125	104352,40625	45783,72265625	66124,7421875	42381,1328125	NaN	40625,4375	20560,07421875	23504,958984375	22470,8203125	14929,5087890625	17966,55859375	14003,0673828125	21356,05078125	15089,4501953125	14594,1162109375	12406,42578125	14493,46484375	12258,32421875
