"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
24.7196388740224,-20.9869309085758,13.3117367600778,2.26330367552338e-11,16.2687514759327,"RILP",1,132.342447961693,5.08128513825892e-30,4.62027466896826e-09,2.17550368772473e-26
-23.7999984046707,-21.2168410259137,-12.3593011277455,8.52268438245587e-11,14.9650223873876,"IGHG2",1,-58.3957943451852,3.51123271993162e-23,1.30485614424122e-08,7.51650372182061e-20
24.6808448851848,-20.9966294057852,12.9068758182511,3.93891926480253e-11,15.7250461300546,"TSGA10",1,49.9573484088718,7.00533516836212e-22,7.67535831241481e-09,8.16695513624413e-19
-25.2508381407439,-14.5861970377889,-22.3200408506587,1.45387657448265e-15,25.3634323038499,"GAS2L2",1,-49.7350562160214,7.63016454401441e-22,1.2465273026523e-12,8.16695513624413e-19
23.4056996696944,-15.293667717684,19.2575014011861,2.4257569833909e-14,22.8033041379447,"PHYHD1",2,45.5689867917636,4.07281748360939e-21,1.03989993458427e-11,3.48747579162935e-18
-25.2168209502377,-14.5664930682976,-21.507933142274,2.95728240459112e-15,24.7265582628472,"LCP1",10,-43.9369192953504,8.18125770254974e-21,1.81108577660374e-12,5.83787887573059e-18
-25.4069852648213,-14.4464316484399,-21.7644860081722,2.35684705525023e-15,24.9308188091556,"EIF5A2",1,-41.3953021372363,2.55431710561189e-20,1.68393145958217e-12,1.56229495145314e-17
-23.337561269365,-15.4383594731853,-18.3790542526855,5.86294921410188e-14,21.9823847228265,"SLC25A44",1,-37.757621807404,1.47660997008848e-19,2.28490268322261e-11,7.90245564815738e-17
-24.4948382607425,-14.7887053844193,-19.5422472597978,1.83649326417443e-14,23.0604903510751,"SLC39A8",1,-34.3460013810264,8.95229986347246e-19,9.11256729089737e-12,4.25871295606818e-16
-24.0599632853577,-21.151849805742,-12.0053951933239,1.42382454499486e-10,14.458077722682,"KAT5",1,-33.2591996103489,1.64884069734183e-18,2.10476075820585e-08,7.05935392314329e-16
-25.3884701208237,-14.6241850452102,-19.5001912232696,1.91310583899745e-14,23.0227709734262,"TRIM58",2,-31.268427397658,5.31544932129195e-18,9.11256729089737e-12,2.06887167781389e-15
-2.04520836902271,0.38018071524145,-27.8164006268583,2.06750615443622e-17,29.0272433963973,"BCHE",14,-29.710532764634,1.39830501863392e-17,4.43160532871142e-14,4.98892445813494e-15
-23.7544771239497,-15.2974330728251,-17.2817385726019,1.86444826455416e-13,20.8947334521226,"TOP3A",2,-28.6365979963012,2.80326714354939e-17,4.99544998123478e-11,9.23224651083037e-15
-5.16083141808045,1.25571772410871,-27.9820208533109,1.84215457683603e-17,29.1226246969203,"SNCA",8,-27.3190384268171,6.81400621963644e-17,4.43160532871142e-14,2.01565622702277e-14
-25.8787234124113,-8.13888731421321,-25.6180072778029,1.02097892086594e-16,27.6842253205216,"ZNF532",2,-27.2672591523324,7.06189841552623e-17,1.45894789446478e-13,2.01565622702277e-14
-1.63203991460238,0.682549460394799,-23.8410142317903,4.09275752465414e-16,26.4837211986422,"CLIC2",19,-25.6229393692368,2.27456075520286e-16,4.38631972544885e-13,6.08644660781783e-14
-26.4830982400929,-13.9978486403856,-17.7029179250603,1.18698035029265e-13,21.320740671724,"ABCB1",6,-22.7680770621152,2.07372382297916e-15,3.63462621321816e-11,5.22261790247858e-13
1.06508711379641,0.242915989026776,17.7839642354913,1.08938565903817e-13,21.4014747389643,"MYH10",66,22.5775295022239,2.42529636807345e-15,3.5923824170461e-11,5.61744726239041e-13
24.2567426832345,-14.9759409399947,16.1860643750343,6.32539135631793e-13,19.7333612477518,"YOD1",1,22.5442277332024,2.49290855059234e-15,1.5950809928352e-10,5.61744726239041e-13
1.9484524163226,0.837348581683294,18.1556790150713,7.38228880150986e-14,21.7667534903636,"QPRT",9,17.7931036252332,1.96301077841087e-13,2.6372666671117e-11,4.20222155545037e-11
1.51093362692487,1.59270784624801,17.4891708861273,1.49088982201287e-13,21.1059072246128,"UCHL1",10,16.8982377664591,5.01836317024553e-13,4.26087262381442e-11,1.0231258324985e-10
-0.66748539652349,2.1894134419696,-13.5382133487484,1.66992500872421e-11,16.5663864844834,"MCM3",38,-14.4105433950434,8.74192580164119e-12,3.76779814827006e-09,1.67119954100588e-09
-0.573470725678841,2.41614377592434,-13.457110313709,1.86112804699306e-11,16.4603284831839,"MCM6",32,-14.3889238571167,8.97779916853049e-12,3.98924324978261e-09,1.67119954100588e-09
-0.602601863712385,1.67379501618997,-12.8168731533479,4.46364856420503e-11,15.6021023758669,"MCM2",33,-14.1471212997084,1.21197408109491e-11,8.31967609663959e-09,2.16206301744776e-09
-0.935419811562513,2.01874473902468,-14.1133692818946,7.85750177391992e-12,17.3020554472918,"DUT",13,-13.7514791900602,1.99886383203272e-11,1.87135526413722e-09,3.42317781389987e-09
0.478878272767723,3.2872016028806,12.4840704777456,7.13156038860147e-11,15.1407612163488,"PYGB",44,13.464564239927,2.89473277122478e-11,1.22289400502497e-08,4.76673915798983e-09
-1.17860282854613,1.44373223370111,-12.5764554296374,6.25561654798092e-11,15.2699019952875,"SERPINB2",14,-12.4840106707609,1.07920711487293e-10,1.11738577613275e-08,1.71130450367777e-08
0.833949784003494,2.90568931219025,12.3919338969332,8.1334751939437e-11,15.011134346774,"ASS1",22,12.3357072510868,1.32628244738026e-10,1.29138769190272e-08,2.0279827112996e-08
0.550653588400162,3.81415004192975,12.4551553637199,7.43131890268777e-11,15.1001705150048,"PYGM",17,12.0435762898999,2.00215190212484e-10,1.2252841378988e-08,2.95586968714561e-08
-0.571979663023054,1.78354747506799,-10.5466091692764,1.34357402291417e-09,12.2279550806222,"MCM7",28,-11.1230582250802,7.72439419145393e-10,1.85799339247706e-07,1.10237519260764e-07
0.708098351624706,0.0887377966929032,9.74178604634934,5.10844871199299e-09,10.892748851061,"PLCD1",17,10.999933235634,9.31195811518272e-10,5.76301435604121e-07,1.28607287255627e-07
-0.508058032641074,1.93421442873285,-10.1867536482356,2.41919901541544e-09,11.640659028162,"MCM4",37,-10.955152201076,9.97084798777515e-10,3.14269270732488e-07,1.33403853410917e-07
-0.447487389864381,2.46526141802268,-10.0268310170149,3.156470899818e-09,11.374660668412,"ACIN1",43,-10.7863630350903,1.29256755797968e-09,3.75875093918277e-07,1.67697106473729e-07
-0.48362389073261,3.43939303722642,-11.1670848709418,5.03674959000264e-10,13.2051832466932,"HNRNPAB",16,-10.7095375063974,1.45608542081847e-09,7.19736231483424e-08,1.83355606518994e-07
-0.456457253951786,1.19536951507895,-9.32472096065975,1.05128481751407e-08,10.1692262896424,"SMARCC1",26,-10.5242255110762,1.94577143602504e-09,1.04965139655514e-06,2.38018128955483e-07
0.751297799751378,0.688346577093203,9.78052066994164,4.78228075221959e-09,10.9588285496693,"KRT8",17,10.2450369731224,3.03261265383693e-09,5.54086546050777e-07,3.60662259882739e-07
-0.857455406879712,1.35744128378839,-10.1235468765191,2.68647094188372e-09,11.5358995787492,"ITGA2",17,-10.1925627288287,3.29955198276015e-09,3.29047324296887e-07,3.81803151092671e-07
-0.483825091908513,1.76260131003158,-9.18149521616833,1.35351841351098e-08,9.91560850400385,"SMC4",47,-9.94999250905535,4.89280724025559e-09,1.2894244919613e-06,5.51265441137963e-07
-0.586137499570064,1.53800333263203,-9.32386989766533,1.05285674311072e-08,10.1677271175531,"DDX21",38,-9.85665158303442,5.70387014124545e-09,1.04965139655514e-06,6.2616859201733e-07
-0.600938855050419,3.35929857821787,-10.1366289018288,2.62873384933147e-09,11.5576216236092,"PCNA",15,-9.78296582393211,6.44259969349969e-09,3.29047324296887e-07,6.89584377297183e-07
0.639969082432747,4.21785524671965,10.2875110128882,2.04893393830093e-09,11.806657026812,"CAPG",12,9.69977403771627,7.39782077711396e-09,2.74487289302292e-07,7.54739708377076e-07
-0.625538179974844,1.60838601016303,-9.55393956446868,7.05244953667636e-09,10.5696129026598,"NCAPH",18,-9.69928163320193,7.403894683007e-09,7.75210489889925e-07,7.54739708377076e-07
1.4408114222757,-0.602696100138008,9.44281532158869,8.55165530453787e-09,10.3763479983282,"BST1",8,9.60048110200623,8.73425577975139e-09,8.94150432785232e-07,8.69648411420313e-07
-0.419369455838707,4.05201489921027,-9.15566644426601,1.41700525125871e-08,9.86958803624296,"LMNB1",43,-9.54393581074707,9.60555906386644e-09,1.32055924073511e-06,9.3466553322211e-07
-0.454115055397454,3.29666144568431,-9.49541639418575,7.80450509940829e-09,10.4680271142175,"RBBP4",18,-9.30077269167675,1.45208723332143e-08,8.36430070891962e-07,1.38154950307674e-06
0.599913310828147,4.07926732818801,9.22220985223893,1.25937838014394e-08,9.98797526374736,"CKB",21,9.11892662930222,1.9871451600299e-08,1.22700919575688e-06,1.84951568698189e-06
1.14755622435707,-0.880651399628887,8.37596737220493,5.88146829055281e-08,8.43872027656856,"ITGA11",18,9.00861925503353,2.40839057815521e-08,4.58423983821986e-06,2.19389237744763e-06
-26.1938458605943,-10.4013932121396,-8.75421592069888,2.92032968371086e-08,9.14301114217685,"KYNU",4,-8.79060677186161,3.53736927737118e-08,2.66365691191576e-06,3.15518929528214e-06
0.554347394046131,0.067214355930088,7.4765178569566,3.3519724579698e-07,6.68547459217079,"FGD4",22,8.54726024596739,5.47147696916928e-08,1.91594676830789e-05,4.7372552735105e-06
26.2657874667936,-9.05541605256279,8.58421675689822,3.99111973080881e-08,8.8288647811444,"PRAM1",1,8.53991091564927,5.54467830822131e-08,3.42191338654575e-06,4.7372552735105e-06
0.618136716885322,1.63810684215461,8.46263758545218,5.00158208376477e-08,8.60180646782802,"EDIL3",18,8.53019580511236,5.64300852540839e-08,3.97061611980108e-06,4.7372552735105e-06
-0.71233513894182,3.71465648865406,-8.55132718875636,4.24157648557031e-08,8.76763818400972,"NASP",29,-8.50966709093283,5.85679366674506e-08,3.56534357621591e-06,4.8221735679816e-06
0.775800674929695,-0.449524538720911,7.69153994671295,2.18952610656749e-07,7.11473249837327,"JCAD",17,8.49100933286501,6.05839678529563e-08,1.40094016171058e-05,4.89404661233205e-06
-0.424411329102839,0.190435920421176,-6.98177616742738,9.14374115251268e-07,5.67372583016544,"NT5DC1",18,-8.33228041911479,8.09442779809951e-08,4.08316519486599e-05,6.41768876181532e-06
0.806236884452153,2.12382915515662,8.49219942239025,4.73368497189366e-08,8.65719945976321,"ADH1B",11,8.22688511705304,9.82924123121399e-08,3.83967453725404e-06,7.61172732394935e-06
26.9314574856522,-8.85442319166674,8.27812654290616,7.07043498870503e-08,8.25338628011886,"TPPP3",1,8.21918115827689,9.9703208028124e-08,5.41255555377692e-06,7.61172732394935e-06
-0.548075193286348,0.755557558560138,-7.60445290661152,2.5997539154965e-07,6.9416444142533,"SMARCA4",31,-8.21039496657292,1.01337881306122e-07,1.63895711073886e-05,7.61172732394935e-06
-26.8741932907724,-9.30692662176957,-8.23075587010282,7.73313194709006e-08,8.16318557881977,"C4orf3",1,-8.18578283863884,1.06066779492286e-07,5.8160057244794e-06,7.82956522883388e-06
-0.434679012794463,4.56184916455536,-8.69695385890516,3.24301420261175e-08,9.03762829426748,"MYL9",13,-8.1544783802691,1.12414586289541e-07,2.89635555024905e-06,8.15749680737373e-06
-0.452590461942616,2.4721761764756,-7.88331885045624,1.50544930997957e-07,7.49221235840464,"PNN",34,-8.11476159342316,1.21040271809156e-07,1.05798756313654e-05,8.63703933549413e-06
-0.336207542696583,-0.481680876412767,-5.24032935798757,4.01899901878801e-05,1.86708842572347,"ATRX",37,-8.02759272273492,1.42466832662318e-07,0.000635608299262135,9.99931366277189e-06
24.8389130457864,-17.1197279367533,7.45681494467198,3.48644652136713e-07,6.64582240894249,"GAS8",1,7.99411945829973,1.51708837020362e-07,1.96658931967332e-05,1.04762401959709e-05
0.749449332812592,1.49138299266052,8.05084281519046,1.08968686987202e-07,7.81780573201486,"NXN",12,7.91763878206158,1.75235439086614e-07,8.05411794065912e-06,1.19087903377042e-05
22.9636864046616,-19.5693890323084,6.93091009662003,1.01564821036771e-06,5.56782095840646,"STK11",1,7.85407662755804,1.97657776640141e-07,4.25627920432136e-05,1.30096692490342e-05
-0.509283879300356,0.214848591900859,-7.334784098458,4.45339221664414e-07,6.39904668134302,"NIFK",11,-7.84772896441671,2.00054760431718e-07,2.2384597120882e-05,1.30096692490342e-05
-0.604454549456765,8.28509586324495,-7.3387768540508,4.41772656097467e-07,6.40715333226465,"H1-2",15,-7.84642577399453,2.00550585098877e-07,2.2384597120882e-05,1.30096692490342e-05
-0.475106877759388,3.25049513190928,-8.49068118677055,4.74707422979152e-08,8.65435747292791,"CBX3",11,-7.83266729190024,2.05863683200261e-07,3.83967453725404e-06,1.31550103338627e-05
-24.5185289979951,-11.0655708816792,-7.77651869252395,1.85353049355126e-07,7.2826223458554,"MMACHC",1,-7.81466445333497,2.13037104445087e-07,1.24154944994449e-05,1.34132060310797e-05
-25.5149812804112,-10.3050021026825,-7.79882011091967,1.77452471242631e-07,7.32651763548963,"PLPP6",2,-7.79807814749981,2.19875539676834e-07,1.2074961728067e-05,1.36431321340005e-05
21.2780727180659,-19.7898311355316,6.70284238380248,1.63354857120839e-06,5.08873446192841,"RASSF1",1,7.76242113187401,2.35358335491369e-07,5.83572833817434e-05,1.42267576067175e-05
-0.373270341264675,3.24883115648313,-7.49814044596641,3.21055154914047e-07,6.72892867011607,"SAFB2",40,-7.75561955565405,2.38437815582786e-07,1.91157530571916e-05,1.42267576067175e-05
28.3941773444747,-17.8729606463049,7.33227245862126,4.47597998727687e-07,6.39394607922488,"RASSF7",1,7.75384060382693,2.39250123676538e-07,2.2384597120882e-05,1.42267576067175e-05
26.3452780131098,-16.2704263973468,7.36667286474807,4.17663649748139e-07,6.46373072920494,"CYREN",1,7.71010605379443,2.60148976879298e-07,2.21047659529979e-05,1.52575752204469e-05
-0.511339680699889,1.60901621813265,-7.44971153982459,3.5362852006969e-07,6.63151368751562,"MCM5",28,-7.69484447679476,2.67879776563678e-07,1.9687964559051e-05,1.54986712348225e-05
1.06176287280606,-2.09536338033337,6.65222639620149,1.81695316480724e-06,4.98147827216021,"TECPR1",10,7.67595297273063,2.77780275335553e-07,6.2815425817216e-05,1.58571961469509e-05
23.3837111889915,-19.4484989207834,6.84821907118256,1.20566338646643e-06,5.39491586627189,"RIMS1",1,7.66424258158846,2.84107041508305e-07,4.70839362391753e-05,1.60049625784252e-05
-24.4086580919538,-19.2117735197441,-6.92302540317662,1.03235293773529e-06,5.5513736765119,"TMEM200A",3,-7.64686029479861,2.93774789318907e-07,4.25627920432136e-05,1.62992218562254e-05
-0.550534181721239,0.863097133890937,-7.85671052525475,1.58529482165061e-07,7.44014186257902,"SMARCE1",9,-7.64129011718524,2.96944452521139e-07,1.09613138298339e-05,1.62992218562254e-05
0.854238349254496,1.14566005559893,7.69571766561904,2.17161789738496e-07,7.12300955765243,"SERPINB9",12,7.61610595574927,3.11723789568887e-07,1.40094016171058e-05,1.68938686633772e-05
-0.69073506624335,-1.06255323519887,-6.38787662295563,3.18466620020957e-06,4.41594349709684,"KIF4A",28,-7.60620395964636,3.17741673258565e-07,9.75169576208887e-05,1.69461739365073e-05
-0.340923364381596,3.36413625104972,-7.48113773571616,3.32122471888603e-07,6.69476438696414,"RBMX",26,-7.60156041476314,3.20605095870123e-07,1.91594676830789e-05,1.69461739365073e-05
25.2304690448527,-10.4276390018186,7.59379282976295,2.6551681985789e-07,6.92038538340631,"ASB4",1,7.58807900986997,3.29070799054751e-07,1.64963251299398e-05,1.71815266862e-05
-0.59368358193983,6.19420229838552,-7.50262050407124,3.18202980502228e-07,6.73792402317474,"TPM2",23,-7.57173794401071,3.39643614105586e-07,1.91157530571916e-05,1.73518107649088e-05
