"logFC","AveExpr","t","P.Value","B","gene","count","sca.t","sca.P.Value","qvalue","sca.qvalue"
-2.66611143712544,22.9542636797637,-30.8166545945165,6.4501672399999e-19,32.4087477171704,"COL3A1",84,-30.8210704003589,3.70915997007693e-19,1.06003188857589e-15,6.05727550545904e-16
-2.37406617562923,18.1665336400168,-27.1980012930277,8.27838720775159e-18,30.2343607187562,"COL8A1",32,-27.167837296391,5.11186749627972e-18,6.80242395249551e-15,4.17398953161423e-15
-2.11003948311408,20.0584409852719,-21.6680985574913,8.21930964284514e-16,26.098610889428,"COL4A2",60,-21.5121625137329,6.23035671847151e-16,4.50258626343013e-13,3.39151249389107e-13
-2.02752237654472,23.2233741128355,-19.5503097759303,6.41415422221582e-15,24.1774984782374,"COL1A2",112,-19.4096784412695,5.03064257574189e-15,2.6352836138992e-12,2.05383350250385e-12
-2.12392920905096,20.6204419894856,-18.7012265573507,1.54759802829536e-14,23.3426112305394,"COL5A2",69,-18.6211965702146,1.16094046344008e-14,5.08669992466827e-12,3.79176756420456e-12
-1.7491205255084,23.9764031312901,-17.7891675537741,4.1514945389876e-14,22.4000221756104,"COL1A1",102,-17.876116179424,2.63512329385786e-14,1.13710658779125e-11,7.17218449753134e-12
-1.90021136270822,14.2304145007284,-14.5121325854312,2.1610157236745e-12,18.55981617552,"MEGF6",11,-15.3198058987014,5.615556234086e-13,4.43931431072654e-10,1.31007603957567e-10
-1.1243606900264,17.4223810781198,-14.9280973464704,1.2575838792029e-12,19.0911974508263,"LTBP2",42,-15.0848760300216,7.59972480506698e-13,2.95247940294174e-10,1.55134947270173e-10
-1.77951884627277,18.9913330373201,-14.3708126203056,2.60501986026952e-12,18.3760643401497,"COL4A1",18,-14.2535290150604,2.29044257968752e-12,4.75681744107813e-10,4.15602989072298e-10
-0.709661300648754,19.0670213965948,-12.2304482378496,5.38833126550034e-11,15.3755538015547,"PAMR1",29,-11.8744316638466,7.37426141107421e-11,8.05025351931938e-09,1.20426008520806e-08
-1.6048615240559,21.5647535740433,-12.1067410060903,6.49946367922546e-11,15.1886835489686,"COL2A1",9,-11.7327553422414,9.21832303901141e-11,8.3115297279304e-09,1.36855104650198e-08
-0.970185087802275,19.7424975251659,-11.71767221088,1.18344323764165e-10,14.5905692159054,"LTBP1",48,-11.6099256378266,1.12046694857534e-10,1.29659436057214e-08,1.5248234678999e-08
