"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1990904","ribonucleoprotein complex",274,-0.661878802865464,-2.95322242710913,1e-10,4.9125e-09,3.09210526315789e-09,715,"tags=64%, list=25%, signal=53%","EIF2A/RPL39/RPLP0/XRCC5/CHCHD1/RPS19/RPL26/SND1/GCN1/EIF3L/DDX17/SNRPE/PRKDC/RPS11/API5/RPS14/RBM42/RPL17/CDC5L/RPS16/RPL34/NUP62/RPL13/UPF1/RPL18/DDX1/PRPF40B/SMNDC1/RPL28/RPS6/HNRNPR/SRP72/RPL5/FAU/RPL27A/RPL31/RPSA/PRPF40A/RPS24/XPO5/RPL12/RPL6/BYSL/PRPF8/RPL3/RPS10/MAGOH/PHF5A/SF3B2/PPP1R8/EIF3B/RPS29/RPS3A/RPL37A/EIF4H/RPL8/SF3B3/HNRNPH3/RPS17/RPS27/PCBP2/RPL4/HNRNPA2B1/RPL7A/TXNL4A/RPS15/EIF3G/RPL10/RPL13A/SNRNP70/RPL29/RPL36A/HSD17B10/RPL35/SF3B6/PPIL1/RPS12/ATXN2/RPS27L/EIF1AX/SNW1/HNRNPAB/HNRNPM/SF3A1/FXR1/RPS4X/LSM14B/NOP10/HNRNPF/RPL30/RPL7/HNRNPD/RPL36AL/HDLBP/DHX29/RPL21/RPL36/RPS3/BTF3/HNRNPH1/RPL22/RPL32/DKC1/RPS25/RBM8A/ZMAT2/TRA2B/PABPC1/DDX5/EIF3H/WDR12/HNRNPA1/SF1/SNRPD2/LSM8/RPL18A/DHX9/SRP14/HNRNPUL1/ALYREF/RPS23/RPL10A/RALY/PABPN1/HNRNPC/SNRPB/ELAVL1/PABPC4/SNRPA/EIF3F/RBM3/PRPF31/RBM14/RPL19/ILF2/RPS26/CPSF6/XPO1/HNRNPA0/RPS13/SNRPC/ILF3/G3BP1/RPL23/SF3A3/PRPF19/RPL9/NPM1/EIF4A3/HNRNPU/NOP56/EIF3K/DAZAP1/SF3B1/CIRBP/HNRNPA3/MRPS28/RPS7/RRS1/FBL/SNRPA1/FTSJ3/RBMX/PRPF4/EIF3E/SNRPD1/DNTTIP2/SNU13/SF3A2/PDCD11/EFTUD2/NAT10/RSL1D1/SRRT"
"GO:0044391","ribosomal subunit",87,-0.680003169830448,-2.6210044103006,1e-10,4.9125e-09,3.09210526315789e-09,715,"tags=76%, list=25%, signal=59%","RPS20/EIF2A/RPL39/RPLP0/CHCHD1/RPS19/RPL26/RPS11/RPS14/RPL17/RPS16/RPL34/RPL13/RPL18/RPL28/RPS6/RPL5/FAU/RPL27A/RPL31/RPSA/RPS24/RPL12/RPL6/RPL3/RPS10/RPS29/RPS3A/RPL37A/RPL8/RPS17/RPS27/RPL4/RPL7A/RPS15/RPL10/RPL13A/RPL29/RPL36A/RPL35/RPS12/RPS27L/RPS4X/RPL30/RPL7/RPL36AL/DHX29/RPL21/RPL36/RPS3/RPL22/RPL32/RPS25/RPL18A/RPS23/RPL10A/RPL19/RPS26/RPS13/RPL23/RPL9/NPM1/MRPS28/RPS7/SNU13/RSL1D1"
"GO:0005840","ribosome",106,-0.65639407823407,-2.61855798717143,1e-10,4.9125e-09,3.09210526315789e-09,737,"tags=70%, list=25%, signal=54%","RPS20/EEF1A1/EIF2A/RPL39/RPLP0/CHCHD1/RPS19/RPL26/GCN1/RPS11/RPS14/RPL17/RPS16/RPL34/RPL13/RPL18/RPL28/RPS6/RPL5/FAU/RPL27A/ABCE1/RPL31/RPSA/RPS24/RPL12/RPL6/RPL3/RPS10/RPS29/RPS3A/RPL37A/RPL8/RPS17/RPS27/RPL4/RPL7A/RPS15/RPL10/RPL13A/RPL29/RPL36A/RPL35/RPS12/RPS27L/RPS4X/RPL30/RPL7/RPL36AL/DHX29/RPL21/RPL36/RPS3/BTF3/RPL22/RPL32/RPS25/EIF3H/SF1/RPL18A/DHX9/RPS23/RPL10A/APEX1/RPL19/RPS26/RPS13/RPL23/RPL9/NPM1/MRPS28/RPS7/SNU13/RSL1D1"
"GO:0005681","spliceosomal complex",80,-0.670296426497771,-2.5547857175896,1e-10,4.9125e-09,3.09210526315789e-09,671,"tags=70%, list=23%, signal=55%","SNRPE/API5/CDC5L/UPF1/PRPF40B/SMNDC1/HNRNPR/PRPF40A/PRPF8/MAGOH/PHF5A/SF3B2/PPP1R8/SF3B3/HNRNPH3/HNRNPA2B1/TXNL4A/SNRNP70/SF3B6/PPIL1/SNW1/HNRNPM/SF3A1/HNRNPF/HNRNPH1/RBM8A/ZMAT2/TRA2B/PABPC1/DDX5/HNRNPA1/SF1/SNRPD2/LSM8/ALYREF/RALY/HNRNPC/SNRPB/SNRPA/RBM3/PRPF31/SNRPC/SF3A3/PRPF19/EIF4A3/HNRNPU/SF3B1/CIRBP/HNRNPA3/SNRPA1/RBMX/PRPF4/SNRPD1/SNU13/SF3A2/EFTUD2"
"GO:0022626","cytosolic ribosome",90,-0.657208020623799,-2.54991226738175,1e-10,4.9125e-09,3.09210526315789e-09,737,"tags=73%, list=25%, signal=56%","RPS20/EEF1A1/EIF2A/RPL39/RPLP0/RPS19/RPL26/GCN1/RPS11/RPS14/RPL17/RPS16/RPL34/RPL13/RPL18/RPL28/RPS6/RPL5/FAU/RPL27A/ABCE1/RPL31/RPSA/RPS24/RPL12/RPL6/RPL3/RPS10/RPS29/RPS3A/RPL37A/RPL8/RPS17/RPS27/RPL4/RPL7A/RPS15/RPL10/RPL13A/RPL29/RPL36A/RPL35/RPS12/RPS27L/RPS4X/RPL30/RPL7/RPL36AL/DHX29/RPL21/RPL36/RPS3/RPL22/RPL32/RPS25/RPL18A/RPS23/RPL10A/RPL19/RPS26/RPS13/RPL23/RPL9/RPS7/SNU13/RSL1D1"
"GO:0140513","nuclear protein-containing complex",212,-0.553121983882776,-2.40006179114711,1e-10,4.9125e-09,3.09210526315789e-09,705,"tags=52%, list=24%, signal=43%","SHMT2/SS18/CFDP1/XRCC5/SNRPE/PRKDC/API5/RANBP3/RBM42/CDC5L/NUP62/BRCC3/COPS4/UPF1/PRPF40B/SMNDC1/HNRNPR/KPNA4/CHMP4A/HCFC1/PRPF40A/CSTF1/RAMAC/ANP32E/KPNA3/RANBP2/PRPF8/PYM1/MAGOH/PHF5A/SF3B2/PPP1R8/UBA2/TRIM28/CPSF7/SF3B3/HNRNPH3/HNRNPA2B1/TXNL4A/SNRNP70/SMARCE1/SF3B6/SUMO1/PPIL1/CBX3/XRCC6/BCLAF1/SNW1/HNRNPAB/HNRNPM/SF3A1/CHD4/NOP10/HNRNPF/RAE1/MCM6/NUDT21/RPS3/HNRNPH1/DKC1/RBM8A/ZMAT2/TRA2B/PABPC1/DDX5/WDR12/HNRNPA1/SF1/SUPT4H1/SNRPD2/RPA1/LSM8/TPR/ALYREF/HMGA1/SAE1/RALY/NONO/HNRNPC/SNRPB/IPO5/SNRPA/RBM3/PRPF31/BABAM1/CPSF6/HINT1/MCM3/CREB1/SNRPC/SF3A3/PRPF19/EXOSC7/WDR33/EIF4A3/HNRNPU/SARNP/SF3B1/CIRBP/HNRNPA3/SFPQ/SNRPA1/RBMX/PRPF4/SNRPD1/SNU13/SF3A2/DDX21/EFTUD2/MCM4/NAT10"
"GO:0005730","nucleolus",210,-0.521951691240067,-2.2559100323925,1e-10,4.9125e-09,3.09210526315789e-09,700,"tags=48%, list=24%, signal=39%","SELENBP1/XRCC5/CHCHD1/RPS19/RPL26/EIF3L/DDX17/PRKDC/RPS11/RPS14/EDF1/RPS16/RPL34/RPL13/PTBP1/RPL18/RPS6/RPL5/RPS24/RPL12/BYSL/RPL3/RPS10/PYM1/SPATS2L/RPS3A/SF3B3/UBLCP1/RPS17/RPS27/RPL4/RPL7A/RPL13A/RPL35/SUMO1/RPS12/XRCC6/NAA50/EWSR1/HNRNPM/FXR1/SDHA/RPS4X/NOP10/RPS6KA3/RAE1/RPL7/RPL36/RPS3/DKC1/RPS25/DDX5/WDR12/IFI16/HABP4/LIPA/H1-5/DHX9/PSPC1/RPS23/APEX1/NOL3/NONO/BRIX1/CEMIP2/IPO5/CPS1/DDX27/RBM14/RPL19/ILF2/XPO1/RPS13/ILF3/RPL23/EXOSC7/WDR33/SRSF9/NPM1/EIF4A3/NOP56/FEN1/MKI67/SF3B1/TXN2/RPS7/XRN2/RRS1/FBL/FTSJ3/NOP16/RCC2/DNTTIP2/ZNF207/SNU13/PDCD11/DDX21/NAT10/RSL1D1/NOP2/MACROH2A1"
"GO:0009986","cell surface",226,0.457330315841136,2.15102179449918,1e-10,4.9125e-09,3.09210526315789e-09,612,"tags=42%, list=21%, signal=36%","CSPG4/PTGFRN/PLXNB2/ITGA3/ICAM1/EPHA2/ITGA5/ITGAV/SDC1/PROCR/PLAU/ITGA4/NT5E/PDCD1LG2/CD151/MICB/PLAUR/HLA-B/HLA-A/PDGFRA/EPHB2/ITGB1/GPC1/NECTIN2/ALCAM/PDGFC/PVR/MICA/LRP6/CD99L2/CD55/EGFR/MXRA8/HLA-E/TNFRSF10D/NOTCH2/CLU/THY1/ANPEP/SDC2/AOC3/CD59/DSG2/TGFBR3/ULBP2/NEO1/ZDHHC5/SCARB1/FAM234A/HHIP/ITGB5/THBS1/VAMP5/IL6ST/GPC6/PRNP/OSMR/LTF/VAMP3/NLGN1/MET/HLA-C/CPM/CLIC4/CD58/TLN1/MELTF/TFRC/CD248/APP/ICOSLG/NOTCH3/SIRPA/CLSTN3/FGA/LMAN2/B2M/EPHA4/ADAM15/WNT5A/FGG/FGB/SDC4/AMBP/MME/HSP90AA1/TNFRSF1A/CD93/SPARC/ACE/BGN/ADAM10/TNFRSF10B/TGFBR2/AXL/B4GALT1"
"GO:0120025","plasma membrane bounded cell projection",418,0.373858572542127,1.89442772390253,1.56591132754023e-10,6.83781279692569e-09,4.30396680668953e-09,906,"tags=46%, list=31%, signal=37%","CSPG4/DCXR/ITGA3/EPHA2/PLXND1/ITGA5/ITGAV/ITGA4/BSG/VCAN/SGCE/S100A6/PTK7/ATP1A1/HSBP1/KIRREL1/PDGFRA/EPHB2/ITGB1/ACTBL2/ALCAM/CALM1/PTPRF/CDC42/CTNNA1/MYO1E/ICAM2/EGFR/NCAM2/MYH9/MXRA8/AP3B1/NEGR1/NOTCH2/CLU/THY1/AOC3/MAP1B/SNAP23/PODXL/RNH1/RAB13/FAT1/NEO1/ZDHHC5/ACTB/HHIP/NEXN/IL6ST/ADGRG1/DNAJB1/PRNP/RAC2/MTPN/CNN3/VAMP3/NLGN1/PTPRS/PTK2/PDE6D/ACTG1/CYGB/JCAD/PRKAR2A/CAPZB/GLRX3/NECTIN3/LIMA1/S100A11/JAM3/MACF1/CNP/RHOC/CLIC4/NCS1/NRP1/PALLD/CDC42BPB/ARPIN/CLIP1/TLN1/PRKCA/APP/PLEC/CLSTN3/SEPTIN7/PCDH9/CTTNBP2NL/EPB41L5/EPHA4/MTMR9/CAPG/DYNLRB1/FKBP15/ADAM15/MPDZ/YKT6/GARS1/AK1/CORO1A/VIM/KITLG/WASF2/ATP2B4/MME/HSP90AA1/ROBO4/NRP2/ATP6V1E1/PKM/CFAP74/NME2/APBB1IP/SNX1/ILK/TNPO1/CD2AP/ROCK1/STAU1/PARK7/ACE/ADAM10/SEPTIN8/PPFIA1/APOD/MPP1/B4GALT1/SEPTIN11/DYNC1H1/EPS8/ITSN1/CCT8/ACTN1/SLC39A6/BRK1/APPL1/RP2/DLG1/PKN2/FLNA/PIP4K2A/ROBO1/PTPRJ/ACTN4/MAP1A/SEPTIN9/ANLN/PGRMC1/HSP90AB1/DCTN1/VPS35/CDH13/IQGAP1/BST1/TRIOBP/PTPRM/KIF5B/CTTN/FAP/UCHL1/SH3KBP1/KPNA1/MAP4/EPB41L3/LZTFL1/RTN4/SDF4/PACSIN2/ANXA1/DCTN2/ANG/UTRN/SERPINF1/SPTBN1/CTNNB1/SCRIB/PXN/TUBB4B/RDX/TPM1/PPP1CC/GDI1/DAG1/BASP1/HSPB1/GIPC1/LAYN/KLC1/CAV1/CORO1C/CD44/SYNPO"
"GO:0043235","receptor complex",60,0.662349095019341,2.6038963332607,2.61993366765244e-10,1.02963393138741e-08,6.48088854629815e-09,687,"tags=72%, list=24%, signal=56%","PLXNB2/ITGA3/DDR2/PLXNA2/EPHA2/PLXND1/ITGA5/ITGAV/IL10RB/ITGA4/PDGFRB/PLXNA1/EPHB4/PDGFRA/ITGB1/EGFR/NOTCH2/LRP5/ACVR1/TGFBR3/ITGB5/IL6ST/OSMR/NLGN1/MET/NRP1/TFRC/APP/NOTCH3/B2M/NRP2/TNFRSF1A/APBB1IP/TNFRSF11B/TGFBR2/AXL/EPS8/ENG/DIABLO/FLNA/FGFR1/SDCBP/LRP1"
