"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04514","Cell adhesion molecules",39,0.778288540173236,2.70633412983495,9.82927672338585e-12,1.19425712189138e-09,9.36367940490968e-10,433,"tags=72%, list=15%, signal=62%","ICAM1/ITGAV/SDC1/ITGA4/PDCD1LG2/VCAN/HLA-B/HLA-A/ITGB1/NECTIN2/ALCAM/PTPRF/PVR/ICAM2/CD99L2/NCAM2/HLA-E/NEGR1/SDC2/NEO1/NLGN1/PTPRS/NECTIN3/JAM3/HLA-C/CD58/ICOSLG/GLG1"
"hsa03010","Ribosome",79,-0.663897348229642,-2.51937223214279,5.87607741703803e-12,1.19425712189138e-09,9.36367940490968e-10,707,"tags=75%, list=24%, signal=58%","RPS20/RPL39/RPLP0/RPS19/RPL26/RPS11/RPS14/RPL17/RPS16/RPL34/RPL13/RPL18/RPL28/RPS6/RPL5/FAU/RPL27A/RPL31/RPSA/RPS24/RPL12/RPL6/RPL3/RPS10/RPS29/RPS3A/RPL37A/RPL8/RPS17/RPS27/RPL4/RPL7A/RPS15/RPL10/RPL13A/RPL29/RPL36A/RPL35/RPS12/RPS27L/RPS4X/RPL30/RPL7/RPL36AL/RPL21/RPL36/RPS3/RPL22/RPL32/RPS25/RPL18A/RPS23/RPL10A/RPL19/RPS26/RPS13/RPL23/RPL9/RPS7"
"hsa03040","Spliceosome",73,-0.642777315019931,-2.41342845448789,5.37549704069978e-10,4.35415260296682e-08,3.41391215567249e-08,611,"tags=63%, list=21%, signal=51%","PRPF40B/SMNDC1/TCERG1/PRPF40A/PRPF8/MAGOH/PHF5A/SF3B2/SF3B3/TXNL4A/SNRNP70/SF3B6/PPIL1/SNW1/HNRNPM/SF3A1/DDX42/RBM8A/ZMAT2/TRA2B/DDX5/HNRNPA1/SNRPD2/LSM8/ALYREF/HNRNPC/SNRPB/SNRPA/PRPF31/SNRPC/PQBP1/SF3A3/PRPF19/SRSF9/EIF4A3/HNRNPU/SF3B1/FUS/HNRNPA3/SNRPA1/RBMX/PRPF4/SNRPD1/SNU13/SF3A2/EFTUD2"
"hsa05171","Coronavirus disease - COVID-19",111,-0.530692437250986,-2.12889355760223,5.67126691200537e-08,3.44529464904326e-06,2.70131397650782e-06,741,"tags=60%, list=26%, signal=47%","C4A/RPS20/RPL39/RPLP0/RPS19/RPL26/RPS11/RPS14/RPL17/RPS16/RPL34/RPL13/RPL18/RPL28/RPS6/RPL5/FAU/RPL27A/RPL31/MAPK1/RPSA/RPS24/RPL12/RPL6/RPL3/RPS10/RPS29/RPS3A/RPL37A/C3/RPL8/RPS17/RPS27/RPL4/RPL7A/RPS15/RPL10/RPL13A/RPL29/RPL36A/RPL35/RPS12/RPS27L/F13B/MAPK3/RPS4X/RPL30/RPL7/RPL36AL/RPL21/ADAM17/RPL36/RPS3/RPL22/RPL32/RPS25/RPL18A/RPS23/RPL10A/MMP3/RPL19/RPS26/RPS13/RPL23/RPL9/RPS7/F2"
"hsa04974","Protein digestion and absorption",29,-0.749203415656642,-2.36295032384588,1.33313146889858e-07,6.47901893884711e-06,5.07993254464513e-06,70,"tags=45%, list=2%, signal=44%","COL7A1/COL4A5/COL5A3/COL2A1/COL4A1/COL4A2/COL1A2/COL1A1/COL24A1/COL13A1/COL5A2/COL8A1/COL3A1"
"hsa04670","Leukocyte transendothelial migration",36,0.63388781920155,2.15579492898984,2.48693906725814e-05,0.000863323133348183,0.000676896197253719,417,"tags=47%, list=14%, signal=41%","ICAM1/ITGA4/ITGB1/CDC42/CTNNA1/CD99L2/THY1/MYL12B/ACTB/RAP1B/AFDN/RAC2/PTK2/ACTG1/JAM3/PRKCA/VCL"
"hsa04360","Axon guidance",61,0.541009744180041,2.05605015205892,2.17814880334498e-05,0.000863323133348183,0.000676896197253719,696,"tags=48%, list=24%, signal=37%","PLXNB2/PLXNA2/EPHA2/PLXNA1/EPHB4/EPHB2/ITGB1/CDC42/MYL12B/NRAS/NEO1/RAC2/SEMA3F/SEMA4B/PTK2/CFL2/MET/NRP1/PRKCA/EPHA4/WNT5A/PAK2/PTPN11/ILK/ROCK1/KRAS/SEMA3C/ROBO1/NCK1"
"hsa05416","Viral myocarditis",20,0.710630810219539,2.1513513247472,0.000102877393104083,0.00192301588648401,0.00150775774508817,362,"tags=50%, list=13%, signal=44%","ICAM1/SGCE/HLA-B/HLA-A/CD55/HLA-E/ACTB/RAC2/ACTG1/HLA-C"
"hsa05414","Dilated cardiomyopathy",25,0.670081072126339,2.11667888946165,9.4471216483072e-05,0.00192301588648401,0.00150775774508817,300,"tags=44%, list=10%, signal=40%","ITGA3/IGF1/ITGA5/ITGAV/ITGA4/SGCE/ITGB1/CACNA2D1/ACTB/ITGB5/ACTG1"
"hsa05410","Hypertrophic cardiomyopathy",26,0.654580592298517,2.08229297755713,8.71577999937e-05,0.00192301588648401,0.00150775774508817,300,"tags=42%, list=10%, signal=38%","ITGA3/IGF1/ITGA5/ITGAV/ITGA4/SGCE/ITGB1/CACNA2D1/ACTB/ITGB5/ACTG1"
